model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95,d_request_throughput,d_output_throughput,d_total_throughput,d_input_throughput,d_ttft_p50_ms,d_ttft_p95_ms,d_ttft_p99_ms,d_ttft_mean_ms,d_tpot_p50_ms,d_tpot_p95_ms,d_tpot_mean_ms,d_e2e_p50_ms,d_e2e_p95_ms,d_e2e_p99_ms,d_e2e_mean_ms,pareto_ttft_outthr,pareto_e2e_reqthr,pareto_full
qwen,10,cap8_chunk2048_pollpm_mem0.85,8,2048,lpm,0.85,0,R_short_decode,0.8784689983888121,224.8880635875359,312.7349634264171,87.84689983888121,49.33469998650253,60.105597507208586,61.93186750635505,51.18390859570354,4.254219590631477,4.264113529968787,4.255508361886457,1133.5357213392854,1144.939500465989,1146.1353681236506,1136.33854087675,1,,0.04184178237070202,0.04184178237070202,0.0418417823707018,0.04184178237070224,-0.08032686493181074,0.8181586071228113,0.8621289893743844,0.4883876787291782,-0.0009019496575681796,-0.0010771472589645725,-0.0007140726574794698,-0.003245608804989919,0.1899353930877028,0.25210101203994484,0.04059869021550011,False,False,False
qwen,11,cap8_chunk2048_pollpm_mem0.9,8,2048,lpm,0.9,0,R_short_decode,0.8795155554204637,225.1559821876387,313.1075377296851,87.95155554204636,50.01061246730387,61.316497949883335,64.99040729366243,50.214511167723686,4.253492640404433,4.261510785869962,4.254718864446177,1134.6484022215009,1145.2258360106498,1148.593530068174,1135.1678216014989,1,,0.04308297226494795,0.04308297226494795,0.04308297226494773,0.04308297226494795,-0.09512793621738003,0.8144951908643643,0.8553201526883043,0.49807735820012766,-0.0007309180772627766,-0.00046610638981681163,-0.0005284165309658029,-0.004230396657784574,0.18973280571052165,0.2504969634417755,0.04158711889732514,False,False,False
qwen,12,cap8_chunk2048_polfcfs_mem0.75,8,2048,fcfs,0.75,0,R_short_decode,0.880418272970392,225.38707788042035,313.4289051774595,88.04182729703919,51.37359770014882,52.26054340600968,52.34922304749489,50.72582914726809,4.2474147133237015,4.256610190039318,4.249636126983472,1135.0189787335694,1136.3772923359647,1136.5115610184148,1134.3830415280536,1,,0.04415357220976057,0.04415357220976057,0.04415357220976013,0.04415357220976035,-0.12497446541388046,0.8418927620788088,0.8834616074465496,0.49296644374284104,0.0006990525519866564,0.0006843963957050558,0.0006668265455388456,-0.004558378609707425,0.1959933042352583,0.2583809295736931,0.042249702276548784,False,False,False
qwen,13,cap8_chunk2048_polfcfs_mem0.8,8,2048,fcfs,0.8,0,R_short_decode,0.8820879632327476,225.8145185875834,314.0233149108582,88.20879632327477,46.923266258090734,52.157734031789005,52.58456589188427,46.84446158353239,4.256076354752569,4.260615892160464,4.256212291326008,1132.369925500825,1136.3954346626997,1137.1295844763515,1132.1785958716646,1,,0.046133782191137396,0.046133782191137396,0.046133782191137174,0.046133782191137396,-0.027521503988728435,0.8422037979986644,0.882937693715123,0.5317629234074437,-0.0013387956616974783,-0.00025601403755937113,-0.0008796068396295098,-0.002213811100091334,0.19598046822360082,0.25797764464629114,0.04411089766331844,False,False,False
qwen,14,cap8_chunk2048_polfcfs_mem0.85,8,2048,fcfs,0.85,0,R_short_decode,0.882362526384457,225.884806754421,314.1210593928667,88.2362526384457,46.93083744496107,49.36024257913232,49.56581460312009,46.05886660283432,4.255483633674244,4.264062252169585,4.25744875329638,1132.4907077942044,1134.1598295606673,1134.5717825181782,1131.708298693411,1,,0.046459407072464876,0.046459407072464876,0.046459407072464654,0.046459407072464876,-0.02768729716427587,0.8506672317454483,0.8896579543461558,0.5396153927221334,-0.0011993445425766414,-0.0010651088757032134,-0.0011703699609380003,-0.0023207105150571117,0.19756219771013872,0.25964671232287095,0.04450796571352844,False,False,False
qwen,15,cap8_chunk2048_polfcfs_mem0.9,8,2048,fcfs,0.9,0,R_short_decode,0.880480970560166,225.4031284634025,313.4512255194191,88.0480970560166,48.86928689666093,63.81833392661064,69.36533158179373,49.74125081207603,4.259196794865763,4.266453681276271,4.253550012598036,1135.4325062129649,1137.5233249273151,1137.7717777621,1133.871365338564,1,,0.04422792994896407,0.04422792994896407,0.04422792994896385,0.04422792994896407,-0.07013529055547196,0.8069262229541161,0.8455808172330426,0.5028078650285701,-0.0020729501938150374,-0.0016265397595596198,-0.0002535524268876266,-0.004924374687302224,0.19518246624753655,0.2575585879433535,0.04268170628655377,False,False,False
qwen,16,cap8_chunk8192_pollpm_mem0.75,8,8192,lpm,0.75,0,R_short_decode,0.8759196094249697,224.23542001279225,311.82738095528924,87.59196094249698,53.17963217385113,60.49581584520638,61.82008863426745,53.46926976926625,4.25841170180516,4.265741116330758,4.259053196109758,1139.0746161341667,1146.2880144827068,1146.8835617415607,1139.5278347772546,1,,0.038818272210506155,0.038818272210506155,0.03881827221050593,0.038818272210506155,-0.1645228474141236,0.8169780540786588,0.8623778284080165,0.4655441920352611,-0.0018882391890633343,-0.0014592523555356784,-0.001547666482430543,-0.008147855620848521,0.18898129597041102,0.2516127858973827,0.037905995533974,False,False,False
qwen,17,cap8_chunk8192_pollpm_mem0.8,8,8192,lpm,0.8,0,R_short_decode,0.8786484367182373,224.9339997998688,312.79884347169246,87.86484367182373,49.386206082999706,58.210563962347806,60.02014635596424,51.08538217609748,4.253182505421778,4.262598093562559,4.254326391189049,1133.7684951722622,1141.9975344091654,1142.8239452838898,1135.938611929305,1,,0.04205459164376335,0.04205459164376357,0.04205459164376313,0.04205459164376335,-0.08145474084407733,0.8238917759729363,0.8663848101279197,0.4893725064147566,-0.0006579517664779821,-0.0007213713764189222,-0.0004361235595624624,-0.0034516273021421018,0.19201688523327065,0.25426184736485014,0.040936346945600555,False,False,False
qwen,18,cap8_chunk8192_pollpm_mem0.85,8,8192,lpm,0.85,0,R_short_decode,0.8823688168906436,225.8864171240048,314.12329881306914,88.23688168906436,47.46795888058841,52.82671202439815,53.22764965239912,48.5575973871164,4.245802437813551,4.254261900342124,4.24521077679945,1130.5021478328854,1135.0355306174606,1136.4548755716532,1131.086345470976,1,,0.04646686745204498,0.0464668674520452,0.04646686745204498,0.04646686745204498,-0.039449134507924866,0.840179895150587,0.8815060784328936,0.5146391552316514,0.0010783770478468568,0.0012356995292831519,0.0017074801711436383,-0.0005607182964779689,0.19694262398414253,0.25841791908596545,0.04503307571795412,False,False,False
qwen,19,cap8_chunk8192_pollpm_mem0.9,8,8192,lpm,0.9,0,R_short_decode,0.8792738231915505,225.0940987370369,313.021481056192,87.92738231915504,49.16385072283447,51.94075261242688,52.06749298609793,49.54886436462402,4.259296367857971,4.265671042615876,4.260022754041368,1135.895322309807,1139.0228549484164,1139.412017883733,1135.854666645173,1,,0.042796284019045894,0.04279628401904567,0.042796284019045894,0.042796284019045894,-0.07658562297746774,0.842860246069421,0.8840887871175716,0.5047308771560619,-0.002096377005692096,-0.0014428012938794144,-0.0017756651570679516,-0.005333994082703741,0.19412152268099692,0.25648826591936,0.04100722126047174,False,False,False
qwen,20,cap8_chunk8192_polfcfs_mem0.75,8,8192,fcfs,0.75,0,R_short_decode,0.8796569440130226,225.1921776673338,313.15787206863604,87.96569440130226,47.58645151741803,50.973319611512125,51.71309358906001,48.17938356427476,4.260986854377038,4.2682571436150685,4.2626935657679885,1134.8991869017482,1138.83013415616,1140.1216334616763,1135.166242835112,1,,0.0432506555224661,0.0432506555224661,0.043250655522465875,0.0432506555224661,-0.042043875712364454,0.8457870843623203,0.88487774125382,0.5184196178252597,-0.002494102420837807,-0.002049934896819261,-0.002403726167166109,-0.00445235581132275,0.194257875992905,0.2560252134847655,0.04158845183683657,False,False,False
qwen,21,cap8_chunk8192_polfcfs_mem0.8,8,8192,fcfs,0.8,0,R_short_decode,0.8791182288149251,225.0542665766208,312.96608945811334,87.91182288149251,48.40845242142677,55.24132831487805,56.330545735545456,49.13765151286498,4.254412829108975,4.304800914764843,4.262282010670021,1132.436410523951,1152.4985048221424,1158.8155684480444,1136.0195642337203,1,,0.04261175306466103,0.04261175306466081,0.04261175306466081,0.04261175306466103,-0.060043978273884635,0.8328747986581654,0.8745984969877555,0.5088411838402704,-0.0009474134059139772,-0.010629240751503621,-0.0023069459606228637,-0.0022726542456990018,0.18458726605572995,0.2438266761687201,0.04086799957895548,False,False,False
qwen,22,cap8_chunk8192_polfcfs_mem0.85,8,8192,fcfs,0.85,0,R_short_decode,0.8786362809804601,224.93088793099776,312.7945160290438,87.86362809804601,50.740170292556286,52.61927784886211,52.84202981274575,50.685837399214506,4.2540208719597725,4.262125418320591,4.256013838355155,1135.5395512655375,1139.094494911842,1139.109512544237,1135.9693661797792,1,,0.04204017524940551,0.04204017524940551,0.04204017524940529,0.04204017524940551,-0.11110372847631833,0.840807459320551,0.8823645346550452,0.49336618404432875,-0.0008551965688512464,-0.0006104023838056083,-0.0008329391647468043,-0.005019115838300836,0.19407083616106457,0.2566856627047257,0.040910381384172245,False,False,False
qwen,23,cap8_chunk8192_polfcfs_mem0.9,8,8192,fcfs,0.9,0,R_short_decode,0.8786706018781241,224.93967408079976,312.80673426861216,87.86706018781241,50.05577742122114,59.98214886058121,63.443756089545786,50.97206524806097,4.253030786582945,4.259680667983405,4.254116438667053,1134.549260372296,1144.6276030968877,1147.8034333046526,1135.7717571081594,1,,0.04208087895694712,0.04208087895694712,0.0420808789569469,0.04208087895694734,-0.0961169543543825,0.8185320843825429,0.8587632648239912,0.49050517365691604,-0.0006222564577729184,-3.645338453295288e-05,-0.00038675168069746135,-0.004142650305383855,0.1901560659001923,0.25101253305620563,0.04107722110254619,False,False,False
qwen,24,cap16_chunk-1_pollpm_mem0.75,16,-1,lpm,0.75,0,R_short_decode,0.8840784092108357,226.32407275797397,314.7319136790575,88.40784092108358,49.33371627703309,53.728704270906746,54.7977594519034,50.02168571809307,4.231932579411888,4.238974903253656,4.233042253226992,1129.5138406567276,1132.3614411754534,1132.485461845063,1129.447460290976,1,,0.04849440025429863,0.04849440025429885,0.04849440025429841,0.04849440025429863,-0.08030532374949062,0.8374510390494581,0.8780107434209367,0.5000047584044546,0.004341576800457325,0.004824596337007714,0.004568997937501651,0.00031399153045119643,0.19883458876639193,0.26100811967786564,0.04641677303324998,False,False,False
qwen,25,cap16_chunk-1_pollpm_mem0.8,16,-1,lpm,0.8,0,R_short_decode,0.8829863605191093,226.044508292892,314.3431443448029,88.29863605191093,47.30515205301344,53.624801989644766,54.6982285939157,47.5759306573309,4.24633376464686,4.256732544916519,4.248438486327217,1130.97765436396,1136.533909291029,1136.996808424592,1130.927744670771,1,,0.047199258413766376,0.0471992584137666,0.047199258413766154,0.047199258413766376,-0.03588400510262413,0.8377653814124223,0.8782323162643164,0.5244514733628629,0.000953370321692959,0.0006556713932956981,0.000948460549465513,-0.000981569470621002,0.19588249501600408,0.2580642863096567,0.045166981072719325,False,False,False
qwen,26,cap16_chunk-1_pollpm_mem0.85,16,-1,lpm,0.85,0,R_short_decode,0.8824815099850009,225.91526655616025,314.1634175546603,88.2481509985001,48.15075150690973,53.31045952625573,53.659518072381616,49.05251500895247,4.244540215415113,4.250539530379077,4.245516775614199,1131.7204150836917,1134.871567110531,1135.1818268140778,1131.659292790573,1,,0.04660051858202374,0.046600518582023964,0.04660051858202374,0.046600518582023964,-0.05440086660711807,0.8387163822135749,0.8805446649002859,0.5096921716914643,0.0013753435848540274,0.0021095926555940725,0.0016355223005215525,-0.0016389562793783785,0.19705863101659693,0.25924863411657584,0.04454934099534691,False,False,False
qwen,27,cap16_chunk-1_pollpm_mem0.9,16,-1,lpm,0.9,0,R_short_decode,0.8866829563815217,226.9908368336696,315.6591324718217,88.66829563815217,47.95606271363795,51.013695960864425,51.13369542174041,48.004631244111806,4.229179866538912,4.233644756798943,4.228457055447222,1126.0223903227595,1129.9547373317182,1130.733532588929,1126.2611803831533,1,,0.0515833266382153,0.05158332663821552,0.05158332663821508,0.0515833266382153,-0.05013758875744645,0.8456649311534676,0.886167581429797,0.5201663668059253,0.004989215132873537,0.006075943837456577,0.005647240900253037,0.0034041298913098927,0.200537373588067,0.2621513233116435,0.04910692302547559,False,False,False
qwen,28,cap16_chunk-1_polfcfs_mem0.75,16,-1,fcfs,0.75,0,R_short_decode,0.8852608183901142,226.62676950786923,315.15285134688065,88.52608183901143,47.17325302772224,49.70413567498326,49.72346970811486,47.62431781273335,4.233734309673309,4.240656110421553,4.235757797198626,1127.148387255147,1129.8677084036171,1130.1095139421525,1127.742556098383,1,,0.04989670732385987,0.04989670732385987,0.049896707323859646,0.04989670732385987,-0.03299569199806718,0.849626829484363,0.8893069869116006,0.5239678161828167,0.003917678763932564,0.004429902794314322,0.003930417811171094,0.002407556552967316,0.20059894806811895,0.2625585203386023,0.04785620965938864,False,False,False
