model,workload,objective_role,config_id,hash,cap,chunk,policy,mem
lfm25,tool_agent,constrained_throughput_best_1pct,68,cap24_chunk8192_polfcfs_mem0.75,24,8192,fcfs,0.75
lfm25,tool_agent,constrained_throughput_best_3pct,68,cap24_chunk8192_polfcfs_mem0.75,24,8192,fcfs,0.75
lfm25,tool_agent,constrained_throughput_best_5pct,68,cap24_chunk8192_polfcfs_mem0.75,24,8192,fcfs,0.75
lfm25,tool_agent,constrained_ttft_best,47,cap16_chunk8192_polfcfs_mem0.9,16,8192,fcfs,0.9
lfm25,tool_agent,constrained_tpot_best,31,cap16_chunk-1_polfcfs_mem0.9,16,-1,fcfs,0.9
lfm25,tool_agent,constrained_e2e_best,191,cap128_chunk8192_polfcfs_mem0.9,128,8192,fcfs,0.9
lfm25,tool_agent,maximin_balanced_best,68,cap24_chunk8192_polfcfs_mem0.75,24,8192,fcfs,0.75
lfm25,tool_agent,geometric_balanced_best,31,cap16_chunk-1_polfcfs_mem0.9,16,-1,fcfs,0.9
lfm25,tool_agent,strict_all_metric_candidate,68,cap24_chunk8192_polfcfs_mem0.75,24,8192,fcfs,0.75
lfm25,tool_agent,noise_tolerant_all_metric_candidate,68,cap24_chunk8192_polfcfs_mem0.75,24,8192,fcfs,0.75
lfm25,tool_agent,pareto_knee_candidate,25,cap16_chunk-1_pollpm_mem0.8,16,-1,lpm,0.8
qwen,R_concurrent_decode,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
qwen,R_concurrent_decode,request_throughput_best,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_concurrent_decode,output_throughput_best,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_concurrent_decode,ttft_p95_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,R_concurrent_decode,tpot_p95_best,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75
qwen,R_concurrent_decode,e2e_p95_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,R_concurrent_decode,ttft_p50_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,R_concurrent_decode,tpot_p50_best,0,cap8_chunk-1_pollpm_mem0.75,8,-1,lpm,0.75
qwen,R_concurrent_decode,e2e_p50_best,48,cap24_chunk-1_pollpm_mem0.75,24,-1,lpm,0.75
qwen,R_concurrent_decode,constrained_throughput_best_1pct,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_concurrent_decode,constrained_throughput_best_3pct,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_concurrent_decode,constrained_throughput_best_5pct,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_concurrent_decode,constrained_ttft_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,R_concurrent_decode,constrained_tpot_best,179,cap128_chunk2048_pollpm_mem0.9,128,2048,lpm,0.9
qwen,R_concurrent_decode,constrained_e2e_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,R_concurrent_decode,maximin_balanced_best,179,cap128_chunk2048_pollpm_mem0.9,128,2048,lpm,0.9
qwen,R_concurrent_decode,geometric_balanced_best,169,cap128_chunk-1_pollpm_mem0.8,128,-1,lpm,0.8
qwen,R_concurrent_decode,strict_all_metric_candidate,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_concurrent_decode,noise_tolerant_all_metric_candidate,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_concurrent_decode,pareto_knee_candidate,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85
qwen,R_long_prefill,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
qwen,R_long_prefill,request_throughput_best,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,output_throughput_best,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,ttft_p95_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,R_long_prefill,tpot_p95_best,71,cap24_chunk8192_polfcfs_mem0.9,24,8192,fcfs,0.9
qwen,R_long_prefill,e2e_p95_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,R_long_prefill,ttft_p50_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,R_long_prefill,tpot_p50_best,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
qwen,R_long_prefill,e2e_p50_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,R_long_prefill,constrained_throughput_best_1pct,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,constrained_throughput_best_3pct,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,constrained_throughput_best_5pct,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,constrained_ttft_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,R_long_prefill,constrained_tpot_best,71,cap24_chunk8192_polfcfs_mem0.9,24,8192,fcfs,0.9
qwen,R_long_prefill,constrained_e2e_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,R_long_prefill,maximin_balanced_best,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,geometric_balanced_best,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,strict_all_metric_candidate,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,noise_tolerant_all_metric_candidate,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75
qwen,R_long_prefill,pareto_knee_candidate,137,cap64_chunk8192_pollpm_mem0.8,64,8192,lpm,0.8
qwen,R_medium_balanced,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
qwen,R_medium_balanced,request_throughput_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,output_throughput_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,ttft_p95_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,tpot_p95_best,72,cap32_chunk-1_pollpm_mem0.75,32,-1,lpm,0.75
qwen,R_medium_balanced,e2e_p95_best,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
qwen,R_medium_balanced,ttft_p50_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,tpot_p50_best,72,cap32_chunk-1_pollpm_mem0.75,32,-1,lpm,0.75
qwen,R_medium_balanced,e2e_p50_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,constrained_throughput_best_1pct,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,constrained_throughput_best_3pct,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,constrained_throughput_best_5pct,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,constrained_ttft_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,constrained_tpot_best,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
qwen,R_medium_balanced,constrained_e2e_best,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
qwen,R_medium_balanced,maximin_balanced_best,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
qwen,R_medium_balanced,geometric_balanced_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,strict_all_metric_candidate,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_medium_balanced,noise_tolerant_all_metric_candidate,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8
qwen,R_medium_balanced,pareto_knee_candidate,83,cap32_chunk2048_pollpm_mem0.9,32,2048,lpm,0.9
qwen,R_short_decode,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
qwen,R_short_decode,request_throughput_best,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,output_throughput_best,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,ttft_p95_best,139,cap64_chunk8192_pollpm_mem0.9,64,8192,lpm,0.9
qwen,R_short_decode,tpot_p95_best,67,cap24_chunk8192_pollpm_mem0.9,24,8192,lpm,0.9
qwen,R_short_decode,e2e_p95_best,39,cap16_chunk2048_polfcfs_mem0.9,16,2048,fcfs,0.9
qwen,R_short_decode,ttft_p50_best,154,cap96_chunk2048_pollpm_mem0.85,96,2048,lpm,0.85
qwen,R_short_decode,tpot_p50_best,60,cap24_chunk2048_polfcfs_mem0.75,24,2048,fcfs,0.75
qwen,R_short_decode,e2e_p50_best,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,constrained_throughput_best_1pct,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,constrained_throughput_best_3pct,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,constrained_throughput_best_5pct,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,constrained_ttft_best,139,cap64_chunk8192_pollpm_mem0.9,64,8192,lpm,0.9
qwen,R_short_decode,constrained_tpot_best,46,cap16_chunk8192_polfcfs_mem0.85,16,8192,fcfs,0.85
qwen,R_short_decode,constrained_e2e_best,39,cap16_chunk2048_polfcfs_mem0.9,16,2048,fcfs,0.9
qwen,R_short_decode,maximin_balanced_best,39,cap16_chunk2048_polfcfs_mem0.9,16,2048,fcfs,0.9
qwen,R_short_decode,geometric_balanced_best,139,cap64_chunk8192_pollpm_mem0.9,64,8192,lpm,0.9
qwen,R_short_decode,strict_all_metric_candidate,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,noise_tolerant_all_metric_candidate,102,cap48_chunk-1_polfcfs_mem0.85,48,-1,fcfs,0.85
qwen,R_short_decode,pareto_knee_candidate,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85
qwen,shared_prefix,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85
