model,workload,objective_role,config_id,hash,cap,chunk,policy,mem,request_throughput_raw,request_throughput_delta,request_throughput_ci_lo,request_throughput_ci_hi,output_throughput_raw,output_throughput_delta,output_throughput_ci_lo,output_throughput_ci_hi,ttft_p95_ms_raw,ttft_p95_ms_delta,ttft_p95_ms_ci_lo,ttft_p95_ms_ci_hi,tpot_p95_ms_raw,tpot_p95_ms_delta,tpot_p95_ms_ci_lo,tpot_p95_ms_ci_hi,e2e_p95_ms_raw,e2e_p95_ms_delta,e2e_p95_ms_ci_lo,e2e_p95_ms_ci_hi,classification,repeat_count
lfm25,R_short_decode,tpot_p95_best,105,cap48_chunk2048_pollpm_mem0.8,48,2048,lpm,0.8,1.6821369278529374,0.0004172847053336426,-0.0030098821950992616,0.004112475441440149,430.6270535303521,0.0004172847053340867,-0.003096806860387366,0.004138071697161827,26.873364886268973,0.13020579730511117,-0.020837381344550022,0.275987548177303,2.230805975987631,-0.0009781911560962087,-0.0013317874920915074,-0.0005346650696711979,595.0636772299185,0.005001277675929949,-0.002977618023612583,0.015131560810859767,REGRESSION,5
lfm25,R_short_decode,e2e_p95_best,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,1.6803397276374006,-0.0006515641677447004,-0.003372808099540869,0.0024934116874665005,430.16697027517455,-0.0006515641677447004,-0.0033730546064750845,0.0025639405154041805,25.144096058793366,0.1861760119546284,0.056741607416805236,0.31933995021517625,2.2375343413612283,-0.003997255598990668,-0.004148598279164389,-0.003820643460243245,594.7328252065927,0.005554491311855481,-0.0016074176982412813,0.015662536280049825,TRADE-OFF,5
lfm25,R_short_decode,constrained_throughput_best_3pct,167,cap96_chunk8192_polfcfs_mem0.9,96,8192,fcfs,0.9,1.6785843173938644,-0.0016955592910334882,-0.004924039477042585,0.00190878992070097,429.7175852528293,-0.0016955592910334882,-0.004863700490568471,0.001917054696838066,26.90464689861983,0.12919331103453968,-0.012920768593358322,0.27010137251715827,2.2418324166636525,-0.005925831946724802,-0.011707833514345234,-0.002754537566810334,596.1101148789749,0.0032515420364606085,-0.005548411166300343,0.013686245993845936,REGRESSION,5
lfm25,R_short_decode,maximin_balanced_best,9,cap8_chunk2048_pollpm_mem0.8,8,2048,lpm,0.8,1.6734522512231216,-0.004747752973039976,-0.007565214418833416,-0.0015486157260313136,428.4037763131191,-0.004747752973039976,-0.007569732643354354,-0.0015611656813868668,28.021372882649302,0.09304890593237558,-0.05257492387033842,0.2372758830386406,2.237753648105209,-0.00409566006368256,-0.004423322539034824,-0.0036475079872806903,597.3373009450734,0.001199579171736631,-0.006137635838655914,0.011274697074798728,REGRESSION,5
lfm25,R_short_decode,pareto_knee_candidate,5,cap8_chunk-1_polfcfs_mem0.8,8,-1,fcfs,0.8,1.6803397276374006,-0.0006515641677447004,-0.0033560309576739027,0.002578184714183349,430.16697027517455,-0.0006515641677447004,-0.003384408012178289,0.0025493522535861178,25.144096058793366,0.1861760119546284,0.05721125897849523,0.31824137138242425,2.2375343413612283,-0.003997255598990668,-0.004147391812474821,-0.0038123706498771615,594.7328252065927,0.005554491311855481,-0.0017615302417350875,0.01555468712592426,TRADE-OFF,5
lfm25,R_short_decode,strict_all_metric_candidate,78,cap32_chunk-1_polfcfs_mem0.85,32,-1,fcfs,0.85,1.6734808579398224,-0.004730739700593345,-0.009333547477256668,-0.0003573945182289096,428.4110996325945,-0.004730739700593345,-0.009456903002197339,-0.00039630462261349103,27.62781720608473,0.10578688821938109,-0.04677089391737508,0.25816580014240503,2.260481542816493,-0.014293824844380243,-0.03651824919374392,-0.002600612324935131,602.9779383027926,-0.008232061808520319,-0.030710893309496744,0.009467854369730147,REGRESSION,5
lfm25,shared_prefix,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85,14.08048095310482,0.0,-0.015973341430020715,0.016502995089563703,3604.6031239948343,0.0,-0.015777114868499153,0.016142269866514285,7449.867688077502,0.0,-0.021122045231711788,0.020646377791829477,7.657345421064427,0.0,-0.004573040866495869,0.00451462176188554,9065.951490602456,0.0,-0.016529185170454187,0.016254950492390563,FLAT,5
lfm25,shared_prefix,request_throughput_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75,26.625410868406885,0.8909447026051935,0.821488374421884,0.942631406080323,6816.1051823121625,0.8909447026051933,0.8189614095598194,0.9420653047320773,486.4161811675875,0.9347080778433112,0.9080288341834892,0.9492281192182231,7.996636991224745,-0.044309294083425765,-0.05456585089053191,-0.03371223818853819,2448.476057443768,0.7299261903197035,0.7106603906496174,0.7419093643923526,TRADE-OFF,5
lfm25,shared_prefix,ttft_p95_best,152,cap96_chunk2048_pollpm_mem0.75,96,2048,lpm,0.75,26.625410868406885,0.8909447026051935,0.8215836489893583,0.9425149778797637,6816.1051823121625,0.8909447026051933,0.8199935811478463,0.9425789997448698,486.4161811675875,0.9347080778433112,0.9079319794559981,0.9492563614944249,7.996636991224745,-0.044309294083425765,-0.05471935354932242,-0.03388536904670291,2448.476057443768,0.7299261903197035,0.710632870046628,0.7419230825135085,TRADE-OFF,5
lfm25,shared_prefix,tpot_p95_best,8,cap8_chunk2048_pollpm_mem0.75,8,2048,lpm,0.75,7.757525868002451,-0.449058175367804,-0.4544217394513741,-0.44031834414554427,1985.9266222086274,-0.4490581753678041,-0.4543991408736674,-0.44059072909512953,14102.45112179312,-0.8929800786075934,-0.9165790488930825,-0.8546499531025396,4.071110274387049,0.4683392154168834,0.4614100670187068,0.47435055600182807,15103.444871585807,-0.665952535400357,-0.6824664448861288,-0.6397538815866657,TRADE-OFF,5
