model,workload,objective_role,config_id,hash,cap,chunk,policy,mem,repeat_count,baseline_reps,request_throughput_raw,request_throughput_base,request_throughput_delta,request_throughput_ci_lo,request_throughput_ci_hi,output_throughput_raw,output_throughput_base,output_throughput_delta,output_throughput_ci_lo,output_throughput_ci_hi,ttft_p95_ms_raw,ttft_p95_ms_base,ttft_p95_ms_delta,ttft_p95_ms_ci_lo,ttft_p95_ms_ci_hi,tpot_p95_ms_raw,tpot_p95_ms_base,tpot_p95_ms_delta,tpot_p95_ms_ci_lo,tpot_p95_ms_ci_hi,e2e_p95_ms_raw,e2e_p95_ms_base,e2e_p95_ms_delta,e2e_p95_ms_ci_lo,e2e_p95_ms_ci_hi,metrics_significantly_better,metrics_significantly_worse,classification
qwen,R_long_prefill,constrained_tpot_best,71,cap24_chunk8192_polfcfs_mem0.9,24,8192,fcfs,0.9,5,5,13.181064420058542,11.2353085670168,0.1731822353997332,0.14897394573997672,0.19703391828252165,421.79406144187334,359.52987414453753,0.17318223539973343,0.14751078055395148,0.19638406725514024,106.38781659305096,157.5690269190818,0.3248177089544033,0.28213191373796265,0.36135403820561107,6.126001991271492,7.459292640729297,0.178742236519554,0.17474850026887034,0.18354197385141968,294.85591758042574,347.6438607648015,0.1518448882377631,0.1319710185567958,0.16900847546387548,request_throughput;output_throughput;ttft_p95_ms;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
qwen,R_long_prefill,constrained_e2e_best,98,cap48_chunk-1_pollpm_mem0.85,48,-1,lpm,0.85,5,5,13.311763161333147,11.2353085670168,0.184815092699113,0.16356396499771356,0.20597326848189362,425.9764211626607,359.52987414453753,0.184815092699113,0.16311509576713273,0.20571760860357502,104.48806379921734,157.5690269190818,0.33687434743836886,0.3062151275899885,0.3646620197459284,6.126739115664555,7.459292640729297,0.17864341690909413,0.17482440095094326,0.1832856033884242,293.02756779361516,347.6438607648015,0.15710414920324745,0.14258539545741708,0.17084420281217527,request_throughput;output_throughput;ttft_p95_ms;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
qwen,R_long_prefill,maximin_balanced_best,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75,5,5,13.246432047398766,11.2353085670168,0.17900028898947817,0.15669836058844044,0.20075550188917846,423.8858255167605,359.52987414453753,0.1790002889894784,0.15657286472258666,0.2013806181114839,105.88372200727463,157.5690269190818,0.3280169073986203,0.2979665346879325,0.3567083925764847,6.127998146468834,7.459292640729297,0.17847463001938235,0.17400755196563758,0.1835356952574671,293.8487456878647,347.6438607648015,0.15474202523982405,0.1395706313518637,0.16872524961193283,request_throughput;output_throughput;ttft_p95_ms;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
qwen,R_long_prefill,geometric_balanced_best,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75,5,5,13.246432047398766,11.2353085670168,0.17900028898947817,0.15741679650187446,0.20140927387318386,423.8858255167605,359.52987414453753,0.1790002889894784,0.1565193512859158,0.2014870016929467,105.88372200727463,157.5690269190818,0.3280169073986203,0.2985250256999812,0.35700736462229243,6.127998146468834,7.459292640729297,0.17847463001938235,0.17396060885924558,0.18359758657349018,293.8487456878647,347.6438607648015,0.15474202523982405,0.13970560321680242,0.16888554029705033,request_throughput;output_throughput;ttft_p95_ms;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
qwen,R_long_prefill,strict_all_metric_candidate,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75,5,5,13.246432047398766,11.2353085670168,0.17900028898947817,0.15689443094028183,0.2003442381141094,423.8858255167605,359.52987414453753,0.1790002889894784,0.15573551193226476,0.20078647531604155,105.88372200727463,157.5690269190818,0.3280169073986203,0.29856392309050145,0.3569608910559041,6.127998146468834,7.459292640729297,0.17847463001938235,0.17403070823723926,0.18360590133966312,293.8487456878647,347.6438607648015,0.15474202523982405,0.1400428626614816,0.16885205761093003,request_throughput;output_throughput;ttft_p95_ms;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
qwen,R_long_prefill,noise_tolerant_all_metric_candidate,120,cap64_chunk-1_pollpm_mem0.75,64,-1,lpm,0.75,5,5,13.246432047398766,11.2353085670168,0.17900028898947817,0.15656693521802728,0.20105673060008203,423.8858255167605,359.52987414453753,0.1790002889894784,0.15663578298637582,0.20139693672104045,105.88372200727463,157.5690269190818,0.3280169073986203,0.29856392309050145,0.3576984770960317,6.127998146468834,7.459292640729297,0.17847463001938235,0.17385267991774567,0.18357245595055272,293.8487456878647,347.6438607648015,0.15474202523982405,0.13970425874653603,0.16903737633111227,request_throughput;output_throughput;ttft_p95_ms;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
qwen,R_long_prefill,pareto_knee_candidate,137,cap64_chunk8192_pollpm_mem0.8,64,8192,lpm,0.8,5,5,13.514669069506041,11.2353085670168,0.2028747576351131,0.18326487164693697,0.22115918902422135,432.4694102241933,359.52987414453753,0.2028747576351131,0.18329900223309892,0.22171935624128292,98.64818619564176,157.5690269190818,0.3739366922263113,0.35509568146488385,0.391994461659831,6.123888707389273,7.459292640729297,0.17902554540472626,0.17029386864022783,0.1862867077774647,287.66245770733804,347.6438607648015,0.17253692593767356,0.16006218894831012,0.18385657977933945,request_throughput;output_throughput;ttft_p95_ms;tpot_p95_ms;e2e_p95_ms,,STRICT_ALL_METRIC_WIN
qwen,R_medium_balanced,cookbook,74,cap32_chunk-1_pollpm_mem0.85,32,-1,lpm,0.85,5,5,4.654554031373353,4.654554031373353,0.0,-0.0018647280175361214,0.0019006388560032059,1191.5658320315783,1191.5658320315783,0.0,-0.0018654866916101298,0.001867961367844423,107.29986245278269,107.29986245278269,0.0,-0.044578553587929504,0.04411367850525838,6.664497538414949,6.664497538414949,0.0,-4.372982837798633e-05,4.448946337642923e-05,1802.5728212902322,1802.5728212902322,0.0,-0.001423195058040161,0.0013713937752688836,,,FLAT
qwen,R_medium_balanced,request_throughput_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8,5,5,4.643755012439078,4.654554031373353,-0.002320097448968439,-0.004032444566709592,-0.0008425326499271746,1188.801283184404,1191.5658320315783,-0.002320097448968439,-0.003965801950817194,-0.0008631377535880281,109.50991017743945,107.29986245278269,-0.020596929708361023,-0.05715028091317276,0.007444058945462751,6.666489048020951,6.664497538414949,-0.0002988236689296375,-0.0006214340572665566,-6.033638167646238e-05,1807.8182684723288,1802.5728212902322,-0.0029099779604697673,-0.004400043176685281,-0.001430815885049841,,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,REGRESSION
qwen,R_medium_balanced,output_throughput_best,165,cap96_chunk8192_polfcfs_mem0.8,96,8192,fcfs,0.8,5,5,4.643755012439078,4.654554031373353,-0.002320097448968439,-0.00401849292528611,-0.0008540516759878381,1188.801283184404,1191.5658320315783,-0.002320097448968439,-0.004027229511804312,-0.0008214880276728326,109.50991017743945,107.29986245278269,-0.020596929708361023,-0.05711557921203285,0.006886846947134706,6.666489048020951,6.664497538414949,-0.0002988236689296375,-0.0006208242899599258,-5.8755463357235294e-05,1807.8182684723288,1802.5728212902322,-0.0029099779604697673,-0.004392622372482735,-0.0014366717756412746,,request_throughput;output_throughput;tpot_p95_ms;e2e_p95_ms,REGRESSION
