completed_index,optuna_trial_number,request_throughput,output_token_throughput,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,e2e_p50,e2e_p95,e2e_p99,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,moe_runner_backend,attention_backend,disable_cuda_graph,server_startup_s,benchmark_wall_s,config_hash,result_path
80,96,19.776551924014335,5062.79729254767,159.301,167.289,167.43,5.676,5.683,5.843,1605.452,1608.3,1608.634,128,8192,fcfs,0.8,triton,fa3,False,28.0,1.6180778187699616,c9ba8171d8745927,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0080/bench_serving.jsonl
81,97,19.67780833412344,5037.518933535601,170.727,172.557,172.865,5.665,5.668,5.771,1615.465,1617.29,1617.408,96,-1,lpm,0.8,triton,fa3,False,28.0,1.6261973618529737,525a18c3e3a57d2e,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0081/bench_serving.jsonl
82,98,19.682408576994945,5038.696595710706,166.475,171.963,172.033,5.676,5.679,5.823,1613.103,1615.804,1616.318,128,-1,lpm,0.9,triton,fa3,False,28.0,1.6258172811940312,566eaa01fbb1b7ac,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0082/bench_serving.jsonl
83,99,19.663040267115118,5033.73830838147,172.076,173.851,174.075,5.66,5.665,5.777,1615.608,1618.264,1618.748,64,8192,fcfs,0.75,triton,fa3,False,25.0,1.6274187290109694,b29dab9f50ffc146,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0083/bench_serving.jsonl
84,100,12.221852123707595,3128.7941436691444,750.538,1391.458,1391.612,4.762,4.768,4.789,1963.655,2606.692,2606.874,16,8192,lpm,0.85,triton,fa3,False,25.0,2.6182611011900008,b8a76cbf003f0432,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0084/bench_serving.jsonl
85,101,19.677099678840975,5037.3375177832895,166.899,171.166,171.429,5.67,5.679,5.833,1611.274,1614.823,1614.83,128,8192,fcfs,0.75,triton,fa3,False,25.0,1.6262559280730784,099a362d8d506627,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0085/bench_serving.jsonl
86,106,12.259495232744536,3138.430779582601,741.738,1383.326,1383.416,4.76,4.764,4.782,1953.808,2597.833,2598.1,16,8192,fcfs,0.8,triton,fa3,False,25.0,2.6102216602303088,da766346755e1fc3,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0086/bench_serving.jsonl
87,107,19.687450647888138,5039.987365859363,166.163,170.938,171.16,5.663,5.666,5.783,1609.959,1615.636,1616.491,48,-1,fcfs,0.75,triton,fa3,False,25.0,1.6254008999094367,14491a4385d5f7e4,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0087/bench_serving.jsonl
88,109,19.7113421810489,5046.103598348518,161.944,164.01,164.086,5.665,5.672,5.777,1606.691,1608.857,1609.205,48,8192,lpm,0.9,triton,fa3,False,28.0,1.6234307996928692,bc4f2e95fb1c9763,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0088/bench_serving.jsonl
89,110,12.213047884961087,3126.5402585500383,749.863,1392.253,1392.441,4.761,4.765,4.784,1962.101,2606.935,2607.019,16,8192,fcfs,0.75,triton,fa3,False,25.0,2.620148574002087,4f3400d8ea214c49,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0089/bench_serving.jsonl
