model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95
qwen,150,cap96_chunk-1_polfcfs_mem0.85,96,-1,fcfs,0.85,0,R_long_prefill,12.844512050123631,411.02438560395626,51789.07258609849,51378.04820049453,115.32828747294845,115.74295738246292,115.77636826317756,115.0555107742548,6.056765304698098,6.1256712895908185,6.074350128220694,303.40523342601955,303.95776461809874,304.0252396091819,303.36036474909633,1,
qwen,150,cap96_chunk-1_polfcfs_mem0.85,96,-1,fcfs,0.85,0,R_medium_balanced,4.619782432327649,1182.6643026758782,4878.490248537998,3695.82594586212,115.63417222350836,120.34618319012225,120.53349358029664,116.21065699728206,6.3098294505228605,6.6657761198596335,6.3071768588213,1724.620566237718,1819.39842144493,1819.485184480436,1724.5407559967134,1,
qwen,150,cap96_chunk-1_polfcfs_mem0.85,96,-1,fcfs,0.85,0,R_short_decode,0.8790838818918564,225.04547376431523,312.9538619535009,87.90838818918564,51.2343707960099,63.38802019599825,63.9201232092455,53.52128006052226,4.24918725483996,4.256344711061056,4.2462349902076815,1134.267878253013,1144.5291457464918,1147.7597915707156,1135.783790203277,1,
qwen,150,cap96_chunk-1_polfcfs_mem0.85,96,-1,fcfs,0.85,0,shared_prefix,17.285359109754257,4425.05193209709,44099.67755436468,39674.62562226759,553.014972480014,595.6597595242783,627.1882980316879,547.2649370130966,12.209524223398343,12.676429260047334,12.267823803493638,3670.9156706929207,3789.416112238541,3792.302126707509,3675.190812875371,1,
qwen,150,cap96_chunk-1_polfcfs_mem0.85,96,-1,fcfs,0.85,0,tool_agent,4.839731867251953,1003.3490120593387,14070.358868386917,13067.009856327575,315.7120745163411,634.3557787593454,683.7094791512935,313.07937640929595,11.098636548477966,60.02720482647419,19.78622658439928,724.5915269013494,6783.8399508036655,9413.69342433288,2270.480267670937,1,
qwen,151,cap96_chunk-1_polfcfs_mem0.9,96,-1,fcfs,0.9,0,R_concurrent_decode,11.848970918342136,3033.336555095587,5403.130738764014,2369.794183668427,178.32257505506277,180.4715388920158,180.93545785639435,177.14199323381763,9.834858110430194,9.83997210138934,9.841519181317576,2686.654384015128,2688.961796276272,2690.0315253576264,2686.7293844698,1,
qwen,151,cap96_chunk-1_polfcfs_mem0.9,96,-1,fcfs,0.9,0,R_long_prefill,10.840309539357124,346.889905259428,43708.12806268792,43361.238157428495,157.11324382573366,157.90094712283462,157.98157806973904,145.86678112391382,6.147389277635563,7.434159471473146,6.515583256259561,347.6823114324361,348.6114811850712,348.6992213269696,347.8498620679602,1,
qwen,151,cap96_chunk-1_polfcfs_mem0.9,96,-1,fcfs,0.9,0,R_medium_balanced,4.666443370309248,1194.6095027991676,4927.764199046566,3733.154696247399,100.53938394412398,109.36250945087522,109.56031538080424,100.7216716534458,6.30660343586522,6.6637470295616215,6.304210068329292,1708.2783242221922,1808.3458876935763,1808.63358003553,1708.295239077415,1,
qwen,151,cap96_chunk-1_polfcfs_mem0.9,96,-1,fcfs,0.9,0,R_short_decode,0.8801363161079794,225.31489692364272,313.32852853444064,88.01363161079793,51.06317112222314,54.96182127390057,55.62277403194457,50.39586336351931,4.249592819342427,4.255918916588759,4.251116206275993,1134.9920218344778,1138.745561428368,1138.973706252873,1134.4304959638976,1,
qwen,151,cap96_chunk-1_polfcfs_mem0.9,96,-1,fcfs,0.9,0,shared_prefix,17.757561698275357,4545.935794758491,45304.39547557731,40758.45968081882,486.8091968819499,522.2260401817039,554.6692907996476,485.97485453865374,12.056604351892076,12.6137937917648,12.146212159041744,3562.955021858216,3705.559211038053,3707.2155662160367,3582.8910119162174,1,
