model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95,d_request_throughput,d_output_throughput,d_total_throughput,d_input_throughput,d_ttft_p50_ms,d_ttft_p95_ms,d_ttft_p99_ms,d_ttft_mean_ms,d_tpot_p50_ms,d_tpot_p95_ms,d_tpot_mean_ms,d_e2e_p50_ms,d_e2e_p95_ms,d_e2e_p99_ms,d_e2e_mean_ms,pareto_ttft_outthr,pareto_e2e_reqthr,pareto_full
qwen,50,cap24_chunk-1_pollpm_mem0.85,24,-1,lpm,0.85,0,R_medium_balanced,4.622250401244086,1183.296102718486,4881.096423713755,3697.800320995269,106.93053505383432,134.32648906018585,134.48410432320088,116.49142982787453,6.349357477772761,6.670331393879857,6.309720196683581,1725.3682299051434,1802.14698438067,1802.302097924985,1725.4700799821876,1,,0.002581812327893118,0.002581812327893118,0.0025818123278933403,0.0025818123278933403,0.12082873752577372,-0.08743655990036192,-0.08734008445813757,0.008840781845222967,0.0038996858901413356,0.004861887632235162,0.0021686822121081972,0.002698471204058417,0.011391575869565074,0.011502667593057514,0.0026219610489917056,False,False,True
qwen,67,cap24_chunk8192_pollpm_mem0.9,24,8192,lpm,0.9,0,R_medium_balanced,4.618709031530586,1182.38951207183,4877.356737296299,3694.9672252244686,113.08442708104847,128.2989294268191,128.44494665041566,117.32740545994602,6.363660567348786,6.667392712323835,6.310309190074822,1726.517345989123,1809.4428167678416,1809.7801235504448,1726.4562489290256,1,,0.0018136772081409624,0.0018136772081409624,0.0018136772081411845,0.0018136772081409624,0.07023210467462304,-0.03864060939081049,-0.038511873518047635,0.0017279413976061253,0.0016557876580295394,0.005300305732300226,0.0020755376615687604,0.0020342563382381718,0.007389282260045538,0.007401241760535582,0.0020519232015189237,False,False,True
qwen,89,cap32_chunk8192_pollpm_mem0.8,32,8192,lpm,0.8,0,R_medium_balanced,4.6170943642876585,1181.9761572576406,4875.651648687767,3693.675491430127,108.05672756396234,129.40802227240056,129.61491418536752,115.81738607492298,6.360397933452737,6.666458446495965,6.312994458872423,1725.408723577857,1805.4261551005768,1805.6344842305407,1725.6309730873909,1,,0.0014634503986448166,0.0014634503986448166,0.0014634503986448166,0.0014634503986448166,0.11156930484436234,-0.0476192413572043,-0.04797137510501992,0.014575836176384582,0.002167636401789408,0.005439687642657676,0.0016508840764012378,0.002675064953146955,0.00959271272135409,0.009674974567907224,0.00252895958138577,False,False,True
qwen,103,cap48_chunk-1_polfcfs_mem0.9,48,-1,fcfs,0.9,0,R_medium_balanced,4.611690727508957,1180.592826242293,4869.945408249459,3689.3525820071663,105.6834962219,133.36322223767638,133.4903477691114,116.44820007495582,6.366568432171263,6.673427680324689,6.315892753556517,1727.3874606471509,1804.41300815437,1804.4637535931545,1727.0008522318676,1,,0.0002913832269282324,0.0002913832269282324,0.0002913832269284544,0.0002913832269284544,0.13108175555915502,-0.07963845866906638,-0.079305295953634,0.009208599187384814,0.0011995958192178025,0.004399956662675231,0.0011925421668048664,0.001531310553310461,0.010148497357448272,0.010317077860887647,0.0017371247124020606,False,False,True
qwen,147,cap96_chunk-1_pollpm_mem0.9,96,-1,lpm,0.9,0,R_medium_balanced,4.619687238182929,1182.63993297483,4878.389723521173,3695.749790546344,106.40700347721577,133.47671017982066,133.5732669103891,116.37249935301952,6.354330052786013,6.673457562083415,6.312877377586476,1725.9662901051342,1803.7122641690075,1804.0452224202452,1726.1562306375708,1,,0.002025853553687673,0.002025853553687673,0.002025853553687895,0.002025853553687895,0.12513315737113528,-0.08055719732038513,-0.07997571946973547,0.009852693508134447,0.003119578052462546,0.0043954986417439335,0.0016693995367074166,0.002352778996780547,0.01053290629472814,0.010546627029379696,0.0022253435689029155,False,False,True
qwen,24,cap16_chunk-1_pollpm_mem0.75,16,-1,lpm,0.75,0,R_long_prefill,9.029943161057767,288.95818115384856,36408.73082538492,36119.77264423107,244.75605390034616,245.21482985001057,245.2622150396928,211.53143781702963,6.112276035691461,9.789811393185968,7.19297330285753,434.557180153206,434.91231659427285,434.9353283829987,434.5136102056131,1,,-0.02006639787737652,-0.02006639787737652,-0.02006639787737663,-0.02006639787737685,-0.037363265736528595,-0.038107911639057024,-0.03821630929825126,-0.05943470984278987,0.00037782495488436485,0.032269194609872875,0.013494114902200538,-0.020802081980919818,-0.02094210605341118,-0.02092180545173994,-0.02071167605382529,False,False,True
qwen,145,cap96_chunk-1_pollpm_mem0.8,96,-1,lpm,0.8,0,R_long_prefill,9.259137515185612,296.2924004859396,37332.84246122839,37036.550060742455,232.83372353762388,233.10356575530025,233.12718567904085,198.92672391142696,6.13289943806106,9.872419512530248,7.231581636944846,423.1243196409196,423.3853727113456,423.39381284080446,423.1057546567172,1,,0.0048058792810499185,0.0048058792810499185,0.0048058792810499185,0.0048058792810499185,0.013167813528619843,0.013164676908540951,0.013152326486119414,0.003694778412210553,-0.002994995613615492,0.024103314936190223,0.00819903772238828,0.006054424704402428,0.006117008888081421,0.006169543804235622,0.006086405948677265,True,True,True
qwen,1,cap8_chunk-1_pollpm_mem0.8,8,-1,lpm,0.8,0,R_concurrent_decode,4.518206385288275,1156.6608346337985,2060.3021116914533,903.641277057655,2681.8286913912743,5200.156892556697,5200.310998042114,2667.0947152742883,6.570645022203564,7.326899785913673,6.673567279952873,4302.232684800401,7068.481342121959,7068.646219209768,4368.651694749133,1,,-0.6257319877588404,-0.6257319877588404,-0.6257319877588405,-0.6257319877588405,-17.79287255492999,-34.94321528418776,-34.1982381205992,-17.837235367220377,0.3288173900994582,0.2521684870120744,0.3188018293618863,-0.6301227346899627,-1.6760756733416349,-1.6759419555493582,-0.655127171129771,False,False,True
qwen,4,cap8_chunk-1_polfcfs_mem0.75,8,-1,fcfs,0.75,0,R_concurrent_decode,4.52841254360845,1159.2736111637632,2064.956119885453,905.68250872169,2663.249972043559,5178.431419562548,5178.628810476512,2651.7494293220807,6.575602243702024,7.339374264884813,6.680211579077428,4285.598143236712,7049.95514578186,7050.195605852641,4355.000390132773,1,,-0.6248865552439495,-0.6248865552439495,-0.6248865552439495,-0.6248865552439495,-17.66268247006133,-34.79304993935033,-34.05148251286787,-17.728854228146616,0.3283110165467936,0.25089525975971605,0.3181236187109777,-0.6238198807137199,-1.669061790027004,-1.6689571993659498,-0.6499551760222042,False,False,True
qwen,8,cap8_chunk2048_pollpm_mem0.75,8,2048,lpm,0.75,0,R_concurrent_decode,4.517790333100812,1156.5543252738078,2060.1123918939697,903.5580666201622,2687.7944639418274,5198.999478924088,5199.128949525766,2671.236185866292,6.585456368597378,7.3220960707312415,6.67375874277341,4304.218253353611,7066.147042601369,7066.193212629296,4372.84220874426,1,,-0.6257664516615293,-0.6257664516615293,-0.6257664516615293,-0.6257664516615293,-17.834677612648303,-34.935215301066236,-34.190237440416,-17.86648586809731,0.32730443085494754,0.2526587857329259,0.3187822859726277,-0.630875069739461,-1.6751919245052167,-1.6750133331480725,-0.6567148082450556,False,False,True
qwen,13,cap8_chunk2048_polfcfs_mem0.8,8,2048,fcfs,0.8,0,R_concurrent_decode,4.528170789605439,1159.2117221389924,2064.84588006008,905.6341579210878,2658.420313615352,5184.190357872285,5184.3054529465735,2650.456687828409,6.569585616040934,7.327480302374883,6.674925371437144,4280.214105034247,7052.431534440257,7052.707069432363,4352.359829703346,1,,-0.6249065810644727,-0.6249065810644727,-0.6249065810644727,-0.6249065810644727,-17.628838714262727,-34.83285542286786,-34.089904794431796,-17.719723815324826,0.3289256070234856,0.2521092356893887,0.31866320343727417,-0.6217798601659508,-1.6699993327785116,-1.669907951540326,-0.6489547613361335,False,False,True
qwen,21,cap8_chunk8192_polfcfs_mem0.8,8,8192,fcfs,0.8,0,R_concurrent_decode,4.515517429422809,1155.9724619322392,2059.075947816801,903.103485884562,2683.6770940572023,5206.931731430814,5207.133153248578,2670.877258584369,6.568056915336562,7.316936084671932,6.675621285711444,4306.023596553132,7072.68634987995,7072.917513237335,4372.958303618361,1,,-0.6259547288381433,-0.6259547288381433,-0.6259547288381433,-0.6259547288381433,-17.80582520766373,-34.99004261982384,-34.244413790389565,-17.863950825884306,0.3290817617579218,0.2531854477993498,0.31859216863524276,-0.6315591171188262,-1.6776676587233204,-1.6775589179122212,-0.6567587924749692,False,False,True
qwen,23,cap8_chunk8192_polfcfs_mem0.9,8,8192,fcfs,0.9,0,R_concurrent_decode,4.527119432576058,1158.942574739471,2064.3664612546827,905.4238865152116,2666.066953446716,5181.247251643799,5181.42276242841,2655.056646530284,6.575789271521854,7.338001899256864,6.680299145825613,4287.852395325899,7052.375534852035,7052.6384530821815,4358.33005742461,1,,-0.6249936707792815,-0.6249936707792815,-0.6249936707792815,-0.6249936707792815,-17.68242242312734,-34.81251282495007,-34.07039334072749,-17.7522125395724,0.32829191190488805,0.25103533240898235,0.3181146804166337,-0.6246740203778272,-1.6699781317413294,-1.6698819757926944,-0.6512166688558316,False,False,True
qwen,24,cap16_chunk-1_pollpm_mem0.75,16,-1,lpm,0.75,0,R_concurrent_decode,6.720426505484983,1720.4291854041558,3064.5144865011525,1344.0853010969963,1658.5972232278436,2711.7451521568,2715.3690706472844,1658.576897229068,7.980737639773711,7.983687980849223,7.972779568996219,3691.448449390009,4747.175127826631,4747.595803732984,3691.385911864927,1,,-0.4433099209875542,-0.4433099209875542,-0.4433099209875542,-0.4433099209875544,-10.622594066555166,-17.743442133320528,-17.378940638345888,-10.714245920405926,0.18477831325631167,0.1851323702529024,0.18618594381811548,-0.3986956267024506,-0.7972460082713653,-0.7972735379900555,-0.3985351886021973,False,False,True
