run,index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
prefill_b4x4000_graph,121,10350.847,21.408,-0.128,2,attn_k_layout_copy,copy_bf16,elementwise_kernel,16000,128,
prefill_b4x4000_graph,122,10372.127,155.905,1.216,2,attn_k_norm,rmsnorm,RMSNormKernel,128000,32,
prefill_b4x4000_graph,123,10529.248,55.648,-0.16,2,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1000,8,
prefill_b4x4000_graph,124,10584.736,16.864,2.144,2,attn_store_kv,store_kv,store_kvcache,8000,128,
prefill_b4x4000_graph,125,10603.744,3.456,-0.032,2,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
prefill_b4x4000_graph,126,10607.168,608.162,4.832,2,attn_kernel,attention,device_kernel,132,512,
prefill_b4x4000_graph,127,11220.162,173.856,-0.128,2,attn_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
prefill_b4x4000_graph,128,11393.89,62.369,2.176,2,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
prefill_b4x4000_graph,129,11458.435,21.024,1.216,2,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
prefill_b4x4000_graph,130,11480.675,3.104,1.184,2,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
prefill_b4x4000_graph,131,11484.963,14.816,2.048,2,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
prefill_b4x4000_graph,132,11501.827,20.992,1.088,2,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
prefill_b4x4000_graph,133,11523.907,3177.865,1.312,2,moe_up,fused_moe,fused_moe_kernel,57848,128,
prefill_b4x4000_graph,134,14703.084,155.905,1.248,2,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
prefill_b4x4000_graph,135,14860.237,1598.693,2.08,2,moe_down,fused_moe,fused_moe_kernel,33056,128,
prefill_b4x4000_graph,136,16461.01,76.576,0.352,2,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
