index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
165,10716.865,22.112,-0.128,kernel,copy_bf16,0,121
166,10738.849,156.0,1.952,kernel,rmsnorm,0,122
167,10896.801,56.128,-0.128,kernel,rope,0,123
168,10952.801,15.712,1.088,kernel,store_kv,0,124
169,10969.601,3.2,-0.032,kernel,attention_prepare,0,125
170,10972.769,607.49,1.408,kernel,attention,0,126
171,11581.667,1.568,1.824,memset,memset,4,
172,11585.059,174.625,-0.16,kernel,gemm,0,127
173,11759.524,61.568,1.152,kernel,fused_add_rmsnorm,0,128
174,11822.244,21.696,1.952,kernel,gemm,0,129
175,11845.892,3.2,0.96,kernel,topk_sigmoid,0,130
176,11850.052,14.528,0.896,kernel,moe_align,0,131
177,11865.476,20.896,0.96,kernel,moe_count_sort,0,132
178,11887.332,3179.53,1.952,kernel,fused_moe,0,133
179,15068.814,154.24,2.304,kernel,act_and_mul,0,134
180,15225.358,1603.077,1.184,kernel,fused_moe,0,135
181,16829.619,76.096,-0.128,kernel,moe_sum,0,136
182,16905.587,63.84,1.76,kernel,fused_add_rmsnorm,0,137
183,16971.187,0.8,2.368,memset,memset,4,
184,16974.355,521.89,1.92,kernel,gemm,0,138
185,17498.165,89.344,1.024,kernel,mul,0,139
186,17588.533,221.121,1.056,kernel,copy_bf16,0,140
187,17810.71,1.12,1.76,memcpy,memcpy_kind_8,16,
188,17813.59,0.736,37.024,memcpy,memcpy_kind_1,4,
189,17851.35,1.248,23.552,kernel,copy_int,0,141
190,17876.15,57.92,1.216,kernel,conv_fwd,0,142
191,17935.286,226.881,1.824,kernel,mul,0,143
192,18163.991,1.888,2.432,memset,memset,4,
193,18168.311,174.177,-0.128,kernel,gemm,0,144
194,18342.36,60.896,1.312,kernel,fused_add_rmsnorm,0,145
195,18404.568,20.256,1.12,kernel,gemm,0,146
196,18425.944,3.104,0.928,kernel,topk_sigmoid,0,147
197,18429.976,15.008,0.928,kernel,moe_align,0,148
198,18445.912,23.616,1.056,kernel,moe_count_sort,0,149
199,18470.584,3176.842,1.248,kernel,fused_moe,0,150
200,21648.674,155.072,1.152,kernel,act_and_mul,0,151
201,21804.898,1602.277,1.024,kernel,fused_moe,0,152
202,23408.199,76.768,-0.128,kernel,moe_sum,0,153
