index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
93,5485.232,1.92,31.744,5,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
94,5518.896,4.928,33.824,5,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,
95,5557.648,2.24,132.544,5,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,
96,5692.432,4.384,74.4,5,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,
97,5771.216,19.2,5.28,5,moe_up,fused_moe,fused_moe_kernel,448,128,
98,5795.696,1.216,59.265,5,moe_activation,act_and_mul,act_and_mul_kernel,4,224,
99,5856.177,14.688,102.144,5,moe_down,fused_moe,fused_moe_kernel,256,128,
100,5973.009,0.928,113.984,5,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,16,128,
101,6087.921,2.24,61.056,6,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
102,6151.217,5.92,53.121,6,attn_qkv_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
103,6210.258,1.76,24.992,6,attn_q_norm,rmsnorm,RMSNormKernel,32,32,
104,6237.01,1.952,53.024,6,attn_k_norm,rmsnorm,RMSNormKernel,8,32,
105,6291.986,1.824,58.944,6,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1,8,
106,6352.754,0.96,64.992,6,attn_store_kv,store_kv,store_kvcache,1,128,
107,6418.706,2.592,12.512,6,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
108,6433.81,7.328,55.072,6,attn_kernel,attention,device_kernel,132,512,
109,6496.21,5.568,24.672,6,attn_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
110,6526.45,1.888,33.857,6,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
111,6562.195,4.8,36.8,6,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,
112,6603.795,2.208,139.584,6,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,
113,6745.587,4.288,74.496,6,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,
114,6824.371,20.832,4.448,6,moe_up,fused_moe,fused_moe_kernel,448,128,
115,6849.651,1.376,54.88,6,moe_activation,act_and_mul,act_and_mul_kernel,4,224,
116,6905.907,14.977,91.264,6,moe_down,fused_moe,fused_moe_kernel,256,128,
117,7012.148,0.96,96.672,6,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,16,128,
118,7109.78,2.112,67.936,7,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
119,7179.828,9.28,23.808,7,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
120,7212.916,0.992,26.336,7,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,
121,7240.244,1.12,21.248,7,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
122,7262.612,2.464,16.801,7,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,
123,7281.877,1.184,34.464,7,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,
124,7317.525,5.536,20.864,7,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
125,7343.925,1.824,30.496,7,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
