index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
146,18048.054,20.256,1.12,3,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
147,18069.43,3.104,0.928,3,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
148,18073.462,15.008,0.928,3,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
149,18089.398,23.616,1.056,3,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
150,18114.07,3176.842,1.248,3,moe_up,fused_moe,fused_moe_kernel,57848,128,
151,21292.16,155.072,1.152,3,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
152,21448.384,1602.277,1.024,3,moe_down,fused_moe,fused_moe_kernel,33056,128,
153,23051.685,76.768,-0.128,3,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
154,23128.325,61.6,4.032,4,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
155,23193.957,520.066,1.056,4,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
156,23715.079,89.6,1.92,4,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
157,23806.599,220.033,51.008,4,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
158,24077.64,1.12,24.128,4,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
159,24102.888,58.24,1.024,4,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
160,24162.152,227.137,4.064,4,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
161,24393.353,175.904,-0.128,4,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
162,24569.129,62.465,1.088,4,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
163,24632.682,19.936,1.056,4,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
164,24653.674,3.104,1.024,4,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
165,24657.802,14.944,0.992,4,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
166,24673.738,20.416,0.864,4,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
167,24695.018,3191.433,1.152,4,moe_up,fused_moe,fused_moe_kernel,57848,128,
168,27887.603,156.033,1.952,4,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
169,28045.588,1607.973,1.12,4,moe_down,fused_moe,fused_moe_kernel,33056,128,
170,29654.681,76.448,-0.128,4,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
171,29731.001,61.952,4.224,5,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
172,29797.177,521.09,1.184,5,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
173,30319.451,89.92,1.216,5,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
174,30410.587,220.193,43.936,5,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
175,30674.716,1.12,24.0,5,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
176,30699.836,58.464,1.088,5,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
177,30759.388,226.401,4.192,5,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
178,30989.981,176.096,-0.16,5,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
179,31165.917,62.208,1.216,5,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
180,31229.341,20.32,1.056,5,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
181,31250.717,3.136,0.96,5,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
182,31254.813,14.816,0.96,5,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
183,31270.589,30.849,0.896,5,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
184,31302.334,3184.009,1.12,5,moe_up,fused_moe,fused_moe_kernel,57848,128,
185,34487.463,155.425,1.088,5,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
186,34643.976,1594.852,1.184,5,moe_down,fused_moe,fused_moe_kernel,33056,128,
187,36240.012,76.225,-0.128,5,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
188,36316.109,61.536,3.968,6,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
