index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
33,1874.18,2.272,0.096,1,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500690
34,1876.548,16.64,-0.064,1,dense_gate_up,gemm,nvjet_tst_64x8_64x16_2x1_v_bz_TNT,2,384,459561500691
35,1893.124,1.92,-0.032,1,dense_activation,act_and_mul,act_and_mul_kernel,1,896,459561500692
36,1895.012,10.592,0.064,1,dense_down,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_splitK_TNT,4,384,459561500693
37,1905.668,1.76,0.288,1,dense_down_splitk_reduce,gemm_splitk_reduce,splitKreduce_kernel,64,32,459561500694
38,1907.716,2.4,0.096,2,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500695
39,1910.212,6.144,-0.16,2,attn_qkv_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500696
40,1916.196,2.016,0.256,2,attn_q_norm,rmsnorm,RMSNormKernel,32,32,459561500697
41,1918.468,1.696,0.064,2,attn_k_norm,rmsnorm,RMSNormKernel,8,32,459561500698
42,1920.228,1.696,0.224,2,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1,8,459561500699
43,1922.148,1.088,0.128,2,attn_store_kv,store_kv,store_kvcache,1,128,459561500700
44,1923.364,3.232,-0.128,2,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,459561500701
45,1926.468,7.968,0.512,2,attn_kernel,attention,device_kernel,132,512,459561500702
46,1934.948,0.896,0.16,2,attn_combine,attention_combine,device_kernel,2,256,459561500703
47,1936.004,5.536,0.224,2,attn_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500704
48,1941.764,2.016,0.096,2,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500705
49,1943.876,5.152,0.128,2,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500706
50,1949.156,2.112,0.096,2,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500707
51,1951.364,4.32,0.096,2,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500708
52,1955.78,20.223,0.001,2,moe_up,fused_moe,fused_moe_kernel,448,128,459561500709
53,1976.004,1.407,0.001,2,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500710
54,1977.412,14.72,0.128,2,moe_down,fused_moe,fused_moe_kernel,256,128,459561500711
55,1992.26,0.992,0.352,2,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500712
56,1993.604,2.4,0.128,3,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500713
57,1996.132,9.28,0.064,3,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500714
58,2005.476,1.12,0.096,3,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500715
59,2006.692,2.432,0.032,3,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500716
60,2009.156,1.088,0.128,3,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500717
61,2010.372,5.568,0.256,3,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500718
62,2016.196,1.952,0.064,3,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500719
63,2018.212,4.96,0.096,3,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500720
64,2023.268,2.08,0.064,3,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500721
65,2025.412,4.416,0.064,3,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500722
66,2029.892,19.776,-0.064,3,moe_up,fused_moe,fused_moe_kernel,448,128,459561500723
67,2049.604,1.6,-0.16,3,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500724
68,2051.044,15.104,0.064,3,moe_down,fused_moe,fused_moe_kernel,256,128,459561500725
69,2066.212,1.088,0.224,3,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500726
70,2067.524,2.176,0.128,4,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500727
71,2069.828,8.64,0.128,4,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500728
72,2078.596,1.056,0.128,4,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500729
73,2079.78,2.528,0.096,4,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500730
74,2082.404,1.056,0.16,4,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500731
75,2083.62,5.504,0.224,4,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500732
76,2089.348,1.984,0.096,4,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500733
77,2091.428,4.992,0.064,4,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500734
78,2096.484,2.176,0.064,4,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500735
79,2098.724,4.864,0.064,4,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500736
80,2103.652,19.776,-0.032,4,moe_up,fused_moe,fused_moe_kernel,448,128,459561500737
81,2123.396,1.408,-0.064,4,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500738
82,2124.74,14.56,0.096,4,moe_down,fused_moe,fused_moe_kernel,256,128,459561500739
83,2139.396,1.024,0.256,4,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500740
84,2140.676,2.144,0.16,5,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500741
85,2142.98,9.152,0.096,5,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500742
86,2152.228,1.056,0.16,5,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500743
87,2153.444,2.88,0.096,5,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500744
88,2156.42,1.024,0.192,5,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500745
89,2157.636,5.536,0.256,5,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500746
90,2163.428,2.016,0.128,5,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500747
91,2165.572,5.12,0.096,5,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500748
92,2170.788,2.368,0.096,5,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500749
93,2173.252,4.384,0.128,5,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500750
94,2177.764,19.68,-0.064,5,moe_up,fused_moe,fused_moe_kernel,448,128,459561500751
95,2197.38,1.696,-0.256,5,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500752
96,2198.82,14.464,0.128,5,moe_down,fused_moe,fused_moe_kernel,256,128,459561500753
97,2213.412,1.056,0.544,5,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500754
98,2215.012,2.432,0.096,6,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500755
99,2217.54,6.016,-0.192,6,attn_qkv_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500756
100,2223.364,1.856,0.256,6,attn_q_norm,rmsnorm,RMSNormKernel,32,32,459561500757
101,2225.476,1.696,0.064,6,attn_k_norm,rmsnorm,RMSNormKernel,8,32,459561500758
102,2227.236,1.696,0.288,6,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1,8,459561500759
103,2229.22,1.12,0.064,6,attn_store_kv,store_kv,store_kvcache,1,128,459561500760
104,2230.404,3.265,-0.16,6,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,459561500761
105,2233.509,7.904,0.704,6,attn_kernel,attention,device_kernel,132,512,459561500762
106,2242.117,0.96,0.128,6,attn_combine,attention_combine,device_kernel,2,256,459561500763
107,2243.205,5.632,0.224,6,attn_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500764
108,2249.061,2.048,0.064,6,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500765
109,2251.173,5.216,0.096,6,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500766
110,2256.485,2.08,0.128,6,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500767
111,2258.693,4.512,0.096,6,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500768
112,2263.301,20.48,-0.032,6,moe_up,fused_moe,fused_moe_kernel,448,128,459561500769
113,2283.749,1.407,0.001,6,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500770
114,2285.157,14.368,0.128,6,moe_down,fused_moe,fused_moe_kernel,256,128,459561500771
115,2299.653,1.024,0.256,6,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500772
116,2300.933,2.464,0.16,7,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500773
117,2303.557,8.96,0.128,7,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500774
118,2312.645,1.056,0.128,7,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500775
119,2313.829,2.496,0.128,7,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500776
120,2316.453,0.96,0.16,7,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500777
121,2317.573,5.6,0.256,7,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500778
122,2323.429,1.92,0.096,7,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500779
123,2325.445,5.088,0.096,7,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500780
124,2330.629,2.144,0.064,7,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500781
125,2332.837,4.448,0.064,7,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500782
126,2337.349,20.832,-0.064,7,moe_up,fused_moe,fused_moe_kernel,448,128,459561500783
127,2358.117,1.472,-0.096,7,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500784
128,2359.493,14.688,0.096,7,moe_down,fused_moe,fused_moe_kernel,256,128,459561500785
129,2374.277,1.12,0.256,7,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,8,128,459561500786
130,2375.653,2.336,0.096,8,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500787
131,2378.085,8.704,0.064,8,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500788
132,2386.853,1.12,0.064,8,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500789
133,2388.037,2.688,0.064,8,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,459561500790
134,2390.789,1.088,0.128,8,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,459561500791
135,2392.005,5.888,0.256,8,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,459561500792
136,2398.149,2.016,0.064,8,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,459561500793
137,2400.229,5.28,0.064,8,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,459561500794
138,2405.573,2.144,0.096,8,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,459561500795
139,2407.813,4.608,0.096,8,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,459561500796
140,2412.517,19.871,0.001,8,moe_up,fused_moe,fused_moe_kernel,448,128,459561500797
141,2432.389,1.375,0.001,8,moe_activation,act_and_mul,act_and_mul_kernel,4,224,459561500798
142,2433.765,14.432,0.128,8,moe_down,fused_moe,fused_moe_kernel,256,128,459561500799
