model,config_id,hash,cap,chunk,policy,mem,is_cookbook,workload,request_throughput,output_throughput,total_throughput,input_throughput,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_mean_ms,tpot_p50_ms,tpot_p95_ms,tpot_mean_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,n_rep,request_throughput_ci95
lfm25,174,cap128_chunk-1_polfcfs_mem0.85,128,-1,fcfs,0.85,0,tool_agent,5.2411685749681896,1086.5728631195302,15062.410926700955,13975.838063581426,313.8780943118036,532.1702152257785,599.873039573431,324.21670794487,3.329444676637649,39.34330577030776,7.445725508517392,509.1688269749284,2111.82346676942,2562.011966980056,909.0068708732724,1,
lfm25,175,cap128_chunk-1_polfcfs_mem0.9,128,-1,fcfs,0.9,0,R_concurrent_decode,21.768118793471896,5572.638411128805,9926.262169823183,4353.62375869438,130.3098953794688,135.5102168628946,135.69519888609648,130.23964321473613,5.209018920055208,5.216787382595094,5.205110434497542,1457.1091474499551,1460.466945101507,1460.8125193417072,1457.5428040116094,1,
lfm25,175,cap128_chunk-1_polfcfs_mem0.9,128,-1,fcfs,0.9,0,R_long_prefill,12.78981341107344,409.2740291543501,51568.5276734481,51159.25364429376,203.94225581549108,204.5299620833248,204.58400445990264,203.61601165495813,3.172880827238964,3.263145546248603,3.196354189346875,302.7316441293806,303.5318561363965,303.61041703261435,302.70299152471125,1,
lfm25,175,cap128_chunk-1_polfcfs_mem0.9,128,-1,fcfs,0.9,0,R_medium_balanced,7.053095074992443,1805.5923391980652,7448.06839919202,5642.476059993955,102.90534398518504,110.42486969381572,110.5739189311862,104.24152101040818,4.021974128908386,4.154658272369381,4.014934531376496,1128.303482895717,1157.971250358969,1158.3056670613587,1128.0498265114147,1,
lfm25,175,cap128_chunk-1_polfcfs_mem0.9,128,-1,fcfs,0.9,0,R_short_decode,1.6694207442870916,427.37171053749546,594.3137849662047,166.94207442870916,27.22617844119668,37.27232413366436,39.98867521062493,28.913099435158077,2.2299837275389947,2.2338404278992003,2.230657654079228,595.3351049683988,606.333039700985,609.0387638658285,597.4514276022092,1,
lfm25,175,cap128_chunk-1_polfcfs_mem0.9,128,-1,fcfs,0.9,0,shared_prefix,17.64680566140443,4517.582249319534,45969.101553943154,41451.51930462362,1102.9189040418714,1640.3599542565644,1663.3901223307478,1063.9223596699594,9.859735145251832,12.738482360454167,9.970989846952566,3605.9285735245794,3622.577084135264,3624.30914117489,3606.524770642864,1,
lfm25,175,cap128_chunk-1_polfcfs_mem0.9,128,-1,fcfs,0.9,0,tool_agent,5.252674439660998,1088.9582014583198,15095.477228536354,14006.519027078037,319.21456451527774,532.5718647567555,539.4615824287757,324.66506831813604,3.304330762475729,33.76761754043397,7.24251202416961,566.75840402022,2093.0740135489027,2717.9337725928003,913.2856193929912,1,
lfm25,176,cap128_chunk2048_pollpm_mem0.75,128,2048,lpm,0.75,0,R_concurrent_decode,21.903816706650147,5607.377076902438,9988.140418232468,4380.76334133003,149.00072803720832,154.79930599685758,154.9517595069483,134.90842188184615,5.051811179146171,5.212173402017238,5.110658969794053,1437.420642003417,1446.8997105257586,1447.6039347751066,1438.1264591793297,1,
lfm25,176,cap128_chunk2048_pollpm_mem0.75,128,2048,lpm,0.75,0,R_long_prefill,11.893080892614334,380.5785885636587,47952.902159021,47572.32357045734,168.18611696362495,224.4974041590467,228.1100254924968,159.93074316065758,5.116071762336839,7.852626813485497,5.386256361230006,326.9607338588685,327.23799005616456,327.2534233191982,326.9046903587878,1,
lfm25,176,cap128_chunk2048_pollpm_mem0.75,128,2048,lpm,0.75,0,R_medium_balanced,6.8170956883156855,1745.1764962088157,7198.853046861364,5453.676550652548,141.64952747523785,152.20111410599202,152.31608112808317,127.65954749193044,4.152131221238889,4.4818374013309095,4.078045090450448,1167.8213272243738,1241.923826164566,1242.192179779522,1167.5610455567949,1,
