model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,8192,32768,bm64_bn32_bk64_gm32_w4_s4,64,32,64,32,4,4,3.659519910812378,3.6655681133270264,0.00463209773461414,2.6943359375,0.7362539358070834,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm16_w4_s3,64,32,64,16,4,3,3.660799980163574,3.66428804397583,0.0031715566954630425,2.6943359375,0.7359964904118061,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm32_w4_s5,64,32,64,32,4,5,3.66646409034729,3.668704032897949,0.0016025040417619902,2.6943359375,0.7348594916266562,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm16_w4_s4,64,32,64,16,4,4,3.6710400581359863,3.6818559169769287,0.0072898566903165105,2.6943359375,0.733943485996195,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm16_w4_s5,64,32,64,16,4,5,3.687551975250244,3.6963839530944824,0.00529995206990775,2.6943359375,0.7306570742822296,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm32_w4_s3,64,32,128,32,4,3,3.703968048095703,3.706752061843872,0.001351193162082043,2.6943359375,0.7274187850743532,0.0
lfm25,8192,32768,bm128_bn32_bk128_gm16_w8_s3,128,32,128,16,8,3,3.717600107192993,3.747488021850586,0.013426023776479303,2.6943359375,0.724751414840684,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm1_w8_s2,64,32,64,1,8,2,3.7213120460510254,3.7464640140533447,0.011998867872970215,2.6943359375,0.7240284889194311,0.0
lfm25,8192,32768,bm128_bn32_bk128_gm32_w8_s3,128,32,128,32,8,3,3.722912073135376,3.7344961166381836,0.00860830653303066,2.6943359375,0.7237173171352591,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm16_w4_s3,64,32,128,16,4,3,3.725343942642212,3.726304054260254,0.0014607279357666478,2.6943359375,0.7232448812737097,0.0
lfm25,8192,32768,bm256_bn32_bk64_gm16_w4_s5,256,32,64,16,4,5,3.725856065750122,3.7534079551696777,0.013295743793185696,2.6943359375,0.7231454704511117,0.0
lfm25,8192,32768,bm64_bn32_bk64_gm1_w8_s4,64,32,64,1,8,4,3.7287681102752686,3.821536064147949,0.06126659846711942,2.6943359375,0.7225807177644781,0.0
lfm25,8192,32768,bm256_bn32_bk64_gm1_w4_s5,256,32,64,1,4,5,3.7291839122772217,3.7571840286254883,0.011563534220478802,2.6943359375,0.7225001504028014,0.0
lfm25,8192,32768,bm64_bn32_bk128_gm1_w4_s4,64,32,128,1,4,4,3.7327680587768555,3.734463930130005,0.00931426006979197,2.6943359375,0.7218064168666493,0.0
lfm25,8192,32768,bm32_bn128_bk128_gm16_w8_s2,32,128,128,16,8,2,3.744767904281616,3.762847900390625,0.009315776608945885,2.6943359375,0.7194934389443483,0.0
lfm25,8192,32768,bm256_bn32_bk64_gm1_w4_s4,256,32,64,1,4,4,3.749727964401245,3.778559923171997,0.011698748086780954,2.6943359375,0.7185417083796986,0.0
lfm25,8192,32768,bm256_bn32_bk64_gm16_w4_s4,256,32,64,16,4,4,3.7559680938720703,3.758944034576416,0.001867168238877524,2.6943359375,0.7173479300571955,0.0
lfm25,8192,32768,bm32_bn128_bk64_gm1_w8_s3,32,128,64,1,8,3,3.756927967071533,3.7674880027770996,0.018153423648142094,2.6943359375,0.7171646518419125,0.0
lfm25,8192,32768,bm32_bn128_bk64_gm16_w8_s3,32,128,64,16,8,3,3.757728099822998,3.7668159008026123,0.018772163726948007,2.6943359375,0.7170119460284826,0.0
lfm25,8192,32768,bm32_bn128_bk128_gm32_w8_s2,32,128,128,32,8,2,3.7584640979766846,3.759615898132324,0.0008554196141063834,2.6943359375,0.7168715377514068,0.0
lfm25,8192,32768,bm32_bn128_bk128_gm1_w8_s2,32,128,128,1,8,2,3.7607359886169434,3.7628159523010254,0.010679212727866707,2.6943359375,0.7164384699312208,0.0
lfm25,8192,32768,bm32_bn128_bk64_gm32_w8_s3,32,128,64,32,8,3,3.765727996826172,3.766592025756836,0.013345544150020514,2.6943359375,0.7154887288117565,0.0
