model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,64,256,bm16_bn32_bk128_gm1_w4_s3,16,32,128,1,4,3,0.20041599869728088,0.20057600736618042,0.00016191161613083417,0.28940799832344055,1.4440364053000478,0.0
lfm25,64,256,bm16_bn32_bk256_gm16_w4_s3,16,32,256,16,4,3,0.20051200687885284,0.20073600113391876,0.00012895696501892418,0.28940799832344055,1.443344978828613,0.0
lfm25,64,256,bm16_bn64_bk64_gm16_w4_s5,16,64,64,16,4,5,0.20054399967193604,0.20083199441432953,0.00014954331683138746,0.28940799832344055,1.4431147219406937,0.0
lfm25,64,256,bm32_bn256_bk128_gm16_w8_s2,32,256,128,16,8,2,0.20057600736618042,0.20083199441432953,0.00010973449990205193,0.28940799832344055,1.4428844313122882,0.0
lfm25,64,256,bm16_bn128_bk128_gm32_w8_s3,16,128,128,32,8,3,0.20057600736618042,0.20073600113391876,8.490601655473473e-05,0.28940799832344055,1.4428844313122882,0.0
lfm25,64,256,bm16_bn64_bk64_gm32_w4_s5,16,64,64,32,4,5,0.2006080001592636,0.20080000162124634,9.831825027825486e-05,0.28940799832344055,1.4426543213315433,0.0
lfm25,64,256,bm16_bn32_bk128_gm32_w4_s3,16,32,128,32,4,3,0.20070399343967438,0.20108799636363983,0.00018592794967263508,0.28940799832344055,1.4419643244937623,0.0
lfm25,64,256,bm16_bn32_bk256_gm1_w4_s3,16,32,256,1,4,3,0.20083199441432953,0.20099200308322906,6.71256982505374e-05,0.28940799832344055,1.44104528348393,0.0
lfm25,64,256,bm16_bn32_bk128_gm1_w4_s4,16,32,128,1,4,4,0.20083199441432953,0.2011519968509674,0.00016762786871322703,0.28940799832344055,1.44104528348393,0.0
lfm25,64,256,bm16_bn64_bk64_gm16_w4_s3,16,64,64,16,4,3,0.2008959949016571,0.20131200551986694,0.00021380431481335036,0.28940799832344055,1.4405862021545626,0.0
lfm25,64,256,bm16_bn32_bk256_gm32_w4_s3,16,32,256,32,4,3,0.2008959949016571,0.20095999538898468,9.36248452594906e-05,0.28940799832344055,1.4405862021545626,0.0
lfm25,64,256,bm16_bn64_bk128_gm1_w8_s5,16,64,128,1,8,5,0.20099200308322906,0.20108799636363983,0.00016860109605941102,0.28940799832344055,1.439898074967685,0.0
lfm25,64,256,bm16_bn32_bk128_gm16_w4_s3,16,32,128,16,4,3,0.20105600357055664,0.20137600600719452,0.00014954867360234415,0.28940799832344055,1.4394397241755506,0.0
lfm25,64,256,bm16_bn64_bk128_gm16_w8_s5,16,64,128,16,8,5,0.20112000405788422,0.20137600600719452,0.00011341016164500589,0.28940799832344055,1.438981665096557,0.0
lfm25,64,256,bm16_bn64_bk128_gm1_w8_s3,16,64,128,1,8,3,0.2011840045452118,0.2014400064945221,0.0001712520731987645,0.28940799832344055,1.4385238974523062,0.0
lfm25,64,256,bm16_bn128_bk64_gm1_w8_s3,16,128,64,1,8,3,0.20131200551986694,0.20134399831295013,0.0001286382013189401,0.28940799832344055,1.4376092353562075,0.0
lfm25,64,256,bm16_bn128_bk64_gm32_w8_s3,16,128,64,32,8,3,0.20131200551986694,0.2014079988002777,0.00013636886204544565,0.28940799832344055,1.4376092353562075,0.0
lfm25,64,256,bm32_bn64_bk128_gm1_w4_s3,32,64,128,1,4,3,0.20134399831295013,0.20163199305534363,0.00017527037659911544,0.28940799832344055,1.4373808047340553,0.0
lfm25,64,256,bm16_bn64_bk128_gm16_w8_s3,16,64,128,16,8,3,0.2014079988002777,0.201664000749588,0.00011555539331575265,0.28940799832344055,1.436924054890324,0.0
lfm25,64,256,bm16_bn64_bk64_gm1_w4_s3,16,64,64,1,4,3,0.20150400698184967,0.20185600221157074,0.0002097405530617008,0.28940799832344055,1.436239421032996,0.0
lfm25,64,256,bm16_bn64_bk128_gm32_w8_s3,16,64,128,32,8,3,0.20153599977493286,0.201664000749588,5.9348718191228705e-05,0.28940799832344055,1.4360114254854692,0.0
lfm25,64,256,bm16_bn64_bk256_gm1_w8_s2,16,64,256,1,8,2,0.20163199305534363,0.20182399451732635,9.7899192624608e-05,0.28940799832344055,1.4353277668787627,0.0
lfm25,64,256,bm16_bn128_bk128_gm1_w8_s4,16,128,128,1,8,4,0.201664000749588,0.2019840031862259,0.00013271639103135837,0.28940799832344055,1.435099954616128,0.0
