model,profile,tokens,M,median_ms,p95_ms,default_ms,speedup_vs_default,regression_pct,correctness_ok
lfm25,oracle_t2048,2,8,0.26467201113700867,0.2849920094013214,0.24457600712776184,0.924072047048284,8.216670247114255,True
lfm25,oracle_t8192,2,8,0.2709119915962219,0.2958720028400421,0.24457600712776184,0.9027876753875396,10.76801636339686,True
lfm25,low_M,2,8,0.31308799982070923,0.32713600993156433,0.24457600712776184,0.7811733674488291,28.012556708867198,True
lfm25,mid_M,2,8,0.321696013212204,0.3251520097255707,0.24457600712776184,0.760270556932359,31.532122463736243,True
lfm25,oracle_t512,32,128,0.2470719963312149,0.24825599789619446,0.2964800000190735,1.1999741145152856,-16.664869024784135,True
lfm25,oracle_t64,32,128,0.24822400510311127,0.25436800718307495,0.2964800000190735,1.1944050290217374,-16.276306972766374,True
lfm25,oracle_t2048,32,128,0.24822400510311127,0.25088000297546387,0.2964800000190735,1.1944050290217374,-16.276306972766374,True
lfm25,oracle_t8192,32,128,0.2513599991798401,0.25225600600242615,0.2964800000190735,1.1795035048792766,-15.218564772102905,True
lfm25,oracle_t16,32,128,0.2534720003604889,0.26627200841903687,0.2964800000190735,1.1696755444286486,-14.506206036096113,True
lfm25,oracle_t8,32,128,0.2598080039024353,0.26767998933792114,0.2964800000190735,1.141150370911627,-12.369129828075742,True
lfm25,oracle_t4,32,128,0.260127991437912,0.2670080065727234,0.2964800000190735,1.1397466238839509,-12.26120095076324,True
lfm25,oracle_t2,32,128,0.2661440074443817,0.27030399441719055,0.2964800000190735,1.1139833763908111,-10.232053620055371,True
lfm25,oracle_t1,32,128,0.26979199051856995,0.2754879891872406,0.2964800000190735,1.098920688672804,-9.001622200076431,True
lfm25,oracle_t32,32,128,0.2719680070877075,0.3089280128479004,0.2964800000190735,1.0901282220429003,-8.26767165737623,True
lfm25,global_best,32,128,0.28441599011421204,0.28857600688934326,0.2964800000190735,1.0424167779737592,-4.06908051271092,True
lfm25,low_M,32,128,0.28492799401283264,0.3195520043373108,0.2964800000190735,1.0405435978527282,-3.896386267369689,True
lfm25,oracle_t2048,32,128,0.31536000967025757,0.32576000690460205,0.2964800000190735,0.9401318839667555,6.368055062725797,True
lfm25,mid_M,32,128,0.3171519935131073,0.3211199939250946,0.2964800000190735,0.9348199162645986,6.972474869368561,True
lfm25,oracle_t16,4,16,0.24089600145816803,0.2436159998178482,0.2412160038948059,1.0013283841769929,-0.1326621913434245,True
lfm25,oracle_t8,4,16,0.2412160038948059,0.2425599992275238,0.2412160038948059,1.0,0.0,True
lfm25,oracle_t4,4,16,0.24140800535678864,0.24633599817752838,0.2412160038948059,0.9992046599212857,0.07959731480604582,True
lfm25,oracle_t2,4,16,0.2420479953289032,0.24489599466323853,0.2412160038948059,0.9965627005794171,0.34491551997524184,True
lfm25,oracle_t64,4,16,0.24348799884319305,0.2439039945602417,0.2412160038948059,0.9906689653733188,0.9418922922618256,True
lfm25,oracle_t32,4,16,0.24527999758720398,0.24582399427890778,0.2412160038948059,0.9834312062443934,1.6847943862673187,True
lfm25,oracle_t2048,4,16,0.24639999866485596,0.317984014749527,0.2412160038948059,0.9789610600724835,2.149108967210478,True
lfm25,oracle_t512,4,16,0.24755200743675232,0.24963200092315674,0.2412160038948059,0.974405363917054,2.6266928560467973,True
lfm25,oracle_t8192,4,16,0.24767999351024628,0.2495039999485016,0.2412160038948059,0.9739018500290256,2.679751555066523,True
lfm25,low_M,4,16,0.2478400021791458,0.31139200925827026,0.2412160038948059,0.9732730865635165,2.7460857394970395,True
lfm25,oracle_t1,4,16,0.2610880136489868,0.28464001417160034,0.2412160038948059,0.9238876979588296,8.238263396008772,True
lfm25,global_best,4,16,0.2624000012874603,0.2813439965248108,0.2412160038948059,0.9192683030155657,8.782169114240347,True
lfm25,oracle_t2048,4,16,0.28566399216651917,0.2967039942741394,0.2412160038948059,0.8444046520017698,18.426633205936447,True
lfm25,mid_M,4,16,0.32073599100112915,0.32758399844169617,0.2412160038948059,0.752070271695691,32.966298181857724,True
lfm25,oracle_t512,512,2048,0.23692800104618073,0.23718400299549103,0.3487679958343506,1.4720421153022374,-32.06716101361804,True
lfm25,oracle_t2048,512,2048,0.2372480034828186,0.23769600689411163,0.3487679958343506,1.4700566104431232,-31.975408777042446,True
lfm25,oracle_t2048,512,2048,0.23999999463558197,0.24134400486946106,0.3487679958343506,1.453200015124679,-31.186348087520223,True
lfm25,oracle_t8192,512,2048,0.24537600576877594,0.24851199984550476,0.3487679958343506,1.4213614519546933,-29.644919058078155,True
lfm25,oracle_t16,512,2048,0.3163839876651764,0.3195199966430664,0.3487679958343506,1.1023566597290808,-9.285257981226913,True
lfm25,global_best,512,2048,0.3717760145664215,0.3726719915866852,0.3487679958343506,0.9381132245475715,6.596940948388719,True
lfm25,low_M,512,2048,0.3861759901046753,0.38646399974823,0.3487679958343506,0.9031322629348731,10.725753141664951,True
lfm25,oracle_t32,512,2048,0.4065279960632324,0.41519999504089355,0.3487679958343506,0.8579187638041595,16.561152662733214,True
lfm25,mid_M,512,2048,0.41497600078582764,0.4166400134563446,0.3487679958343506,0.84045341218263,18.983394618273095,True
lfm25,oracle_t64,512,2048,0.42873600125312805,0.4296320080757141,0.3487679958343506,0.8134796117306605,22.928710883426007,True
lfm25,oracle_t1,512,2048,0.47894400358200073,0.49321600794792175,0.3487679958343506,0.728202030354134,37.324527853031,True
lfm25,oracle_t8,512,2048,0.5125759840011597,0.5379520058631897,0.3487679958343506,0.6804220383324895,46.967608875617884,True
lfm25,oracle_t4,512,2048,0.517632007598877,0.5193279981613159,0.3487679958343506,0.6737759464530981,48.4172899409983,True
lfm25,oracle_t2,512,2048,0.5480319857597351,0.5726720094680786,0.3487679958343506,0.6364008030495785,57.133679782942615,True
lfm25,oracle_t64,64,256,0.195360004901886,0.19545599818229675,0.27398398518562317,1.4024568914360125,-28.696560578338083,True
lfm25,mid_M,64,256,0.19622400403022766,0.196383997797966,0.27398398518562317,1.3962816962160085,-28.381213997859543,True
lfm25,oracle_t1,64,256,0.19939200580120087,0.1995840072631836,0.27398398518562317,1.374097141380846,-27.224941389872292,True
lfm25,oracle_t4,64,256,0.20006400346755981,0.2003519982099533,0.27398398518562317,1.3694816680505417,-26.97967243157765,True
lfm25,oracle_t8,64,256,0.20287999510765076,0.20323200523853302,0.27398398518562317,1.3504731456654646,-25.95187818360979,True
lfm25,oracle_t32,64,256,0.2048639953136444,0.20524799823760986,0.27398398518562317,1.337394522478959,-25.227748193074206,True
lfm25,oracle_t2,64,256,0.20492799580097198,0.20505599677562714,0.27398398518562317,1.336976844548458,-25.204388985679582,True
lfm25,oracle_t16,64,256,0.20630399882793427,0.20656000077724457,0.27398398518562317,1.3280594983238143,-24.70216874604403,True
lfm25,oracle_t512,64,256,0.20732800662517548,0.2075520008802414,0.27398398518562317,1.321500117834798,-24.328421427729985,True
lfm25,global_best,64,256,0.21459199488162994,0.21488000452518463,0.27398398518562317,1.276767035679752,-21.6771758625802,True
lfm25,oracle_t2048,64,256,0.2215999960899353,0.22166399657726288,0.27398398518562317,1.2363898466605932,-19.119361688311052,True
lfm25,oracle_t8192,64,256,0.2290239930152893,0.2292799949645996,0.27398398518562317,1.1963112754187828,-16.40971538532576,True
lfm25,low_M,64,256,0.23027199506759644,0.23084799945354462,0.27398398518562317,1.18982764319732,-15.954213560479458,True
lfm25,oracle_t2048,64,256,0.24742400646209717,0.263264000415802,0.27398398518562317,1.1073460053585977,-9.69398948830229,True
lfm25,oracle_t8192,8192,32768,1.5985280275344849,1.620959997177124,2.6923840045928955,1.6842895202441566,-40.627784713934524,True
lfm25,oracle_t2048,8192,32768,1.6132160425186157,1.6244800090789795,2.6923840045928955,1.668954395215064,-40.08224533474215,True
lfm25,oracle_t2048,8192,32768,1.6208000183105469,1.6401599645614624,2.6923840045928955,1.6611450975915723,-39.80056278949624,True
lfm25,oracle_t512,8192,32768,2.079296112060547,2.092223882675171,2.6923840045928955,1.294853575196074,-22.771190568896994,True
lfm25,oracle_t16,8192,32768,3.1647679805755615,3.1773440837860107,2.6923840045928955,0.8507366167497827,17.54519322566297,True
lfm25,global_best,8192,32768,4.357056140899658,4.360032081604004,2.6923840045928955,0.6179364960023132,61.828926834620354,True
lfm25,oracle_t32,8192,32768,4.624896049499512,4.668704032897949,2.6923840045928955,0.5821501663554697,71.77698432355766,True
lfm25,low_M,8192,32768,4.862656116485596,4.937888145446777,2.6923840045928955,0.553685874570701,80.60782221965614,True
lfm25,mid_M,8192,32768,5.284031867980957,5.297311782836914,2.6923840045928955,0.5095321284694793,96.25847794991391,True
lfm25,oracle_t64,8192,32768,5.6366400718688965,5.641024112701416,2.6923840045928955,0.4776576063513317,109.35498287961303,True
lfm25,oracle_t1,8192,32768,5.949408054351807,5.964447975158691,2.6923840045928955,0.4525465357219027,120.9717500996442,True
lfm25,oracle_t8,8192,32768,6.753503799438477,6.854752063751221,2.6923840045928955,0.3986647649205077,150.83731696213394,True
lfm25,oracle_t4,8192,32768,6.880352020263672,6.882783889770508,2.6923840045928955,0.3913148624755564,155.54868876529454,True
