model,workload,config_id,hash,cls
lfm25,R_short_decode,112,cap48_chunk8192_pollpm_mem0.75,WIN
lfm25,R_short_decode,113,cap48_chunk8192_pollpm_mem0.8,REGRESSION
lfm25,R_short_decode,114,cap48_chunk8192_pollpm_mem0.85,WIN
lfm25,R_short_decode,115,cap48_chunk8192_pollpm_mem0.9,FLAT
lfm25,R_short_decode,116,cap48_chunk8192_polfcfs_mem0.75,WIN
lfm25,R_short_decode,117,cap48_chunk8192_polfcfs_mem0.8,WIN
lfm25,R_short_decode,118,cap48_chunk8192_polfcfs_mem0.85,TRADE-OFF
lfm25,R_short_decode,119,cap48_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,120,cap64_chunk-1_pollpm_mem0.75,WIN
lfm25,R_short_decode,121,cap64_chunk-1_pollpm_mem0.8,WIN
lfm25,R_short_decode,122,cap64_chunk-1_pollpm_mem0.85,WIN
lfm25,R_short_decode,123,cap64_chunk-1_pollpm_mem0.9,REGRESSION
lfm25,R_short_decode,124,cap64_chunk-1_polfcfs_mem0.75,WIN
lfm25,R_short_decode,125,cap64_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_short_decode,126,cap64_chunk-1_polfcfs_mem0.85,WIN
lfm25,R_short_decode,127,cap64_chunk-1_polfcfs_mem0.9,WIN
lfm25,R_short_decode,128,cap64_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_short_decode,129,cap64_chunk2048_pollpm_mem0.8,WIN
lfm25,R_short_decode,130,cap64_chunk2048_pollpm_mem0.85,WIN
lfm25,R_short_decode,131,cap64_chunk2048_pollpm_mem0.9,TRADE-OFF
lfm25,R_short_decode,132,cap64_chunk2048_polfcfs_mem0.75,WIN
lfm25,R_short_decode,133,cap64_chunk2048_polfcfs_mem0.8,FLAT
lfm25,R_short_decode,134,cap64_chunk2048_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,135,cap64_chunk2048_polfcfs_mem0.9,WIN
lfm25,R_short_decode,136,cap64_chunk8192_pollpm_mem0.75,FLAT
lfm25,R_short_decode,137,cap64_chunk8192_pollpm_mem0.8,REGRESSION
lfm25,R_short_decode,138,cap64_chunk8192_pollpm_mem0.85,WIN
lfm25,R_short_decode,139,cap64_chunk8192_pollpm_mem0.9,WIN
lfm25,R_short_decode,140,cap64_chunk8192_polfcfs_mem0.75,WIN
lfm25,R_short_decode,141,cap64_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_short_decode,142,cap64_chunk8192_polfcfs_mem0.85,WIN
lfm25,R_short_decode,143,cap64_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,144,cap96_chunk-1_pollpm_mem0.75,WIN
lfm25,R_short_decode,145,cap96_chunk-1_pollpm_mem0.8,WIN
lfm25,R_short_decode,146,cap96_chunk-1_pollpm_mem0.85,REGRESSION
lfm25,R_short_decode,147,cap96_chunk-1_pollpm_mem0.9,FLAT
lfm25,R_short_decode,148,cap96_chunk-1_polfcfs_mem0.75,FLAT
lfm25,R_short_decode,149,cap96_chunk-1_polfcfs_mem0.8,FLAT
lfm25,R_short_decode,150,cap96_chunk-1_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,151,cap96_chunk-1_polfcfs_mem0.9,REGRESSION
lfm25,R_short_decode,152,cap96_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_short_decode,153,cap96_chunk2048_pollpm_mem0.8,WIN
lfm25,R_short_decode,154,cap96_chunk2048_pollpm_mem0.85,WIN
lfm25,R_short_decode,155,cap96_chunk2048_pollpm_mem0.9,FLAT
lfm25,R_short_decode,156,cap96_chunk2048_polfcfs_mem0.75,REGRESSION
lfm25,R_short_decode,157,cap96_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_short_decode,158,cap96_chunk2048_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,159,cap96_chunk2048_polfcfs_mem0.9,WIN
lfm25,R_short_decode,160,cap96_chunk8192_pollpm_mem0.75,FLAT
lfm25,R_short_decode,161,cap96_chunk8192_pollpm_mem0.8,FLAT
lfm25,R_short_decode,162,cap96_chunk8192_pollpm_mem0.85,FLAT
lfm25,R_short_decode,163,cap96_chunk8192_pollpm_mem0.9,WIN
lfm25,R_short_decode,164,cap96_chunk8192_polfcfs_mem0.75,REGRESSION
lfm25,R_short_decode,165,cap96_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_short_decode,166,cap96_chunk8192_polfcfs_mem0.85,FLAT
lfm25,R_short_decode,167,cap96_chunk8192_polfcfs_mem0.9,WIN
lfm25,R_short_decode,168,cap128_chunk-1_pollpm_mem0.75,FLAT
lfm25,R_short_decode,169,cap128_chunk-1_pollpm_mem0.8,REGRESSION
lfm25,R_short_decode,170,cap128_chunk-1_pollpm_mem0.85,FLAT
